epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-28 15:01:13.220,0.15061249,0.9487433862433863,0.9543161434977578,0.9564606741573034,3405-163-147-2333,0.35050982,0.8616071428571429,0.7578125,0.8622222222222222,97-31-0-96,18
2,2022-10-28 15:02:01.445,0.09595097,0.9922288359788359,0.9935538116591929,0.9934145999719771,3545-23-24-2456,0.5215089,0.71875,0.5078125,0.6735751295336787,65-63-0-96,0
3,2022-10-28 15:02:49.568,0.07129722,0.9993386243386243,0.9991591928251121,0.9994393047378749,3565-3-1-2479,0.3483994,1.0,1.0,1.0,128-0-0-96,48
4,2022-10-28 15:04:02.323,0.07429197,0.9775132275132276,0.9806614349775785,0.9809363610877488,3499-69-67-2413,3.21131,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
5,2022-10-28 15:04:50.275,0.06904515,0.9915674603174603,0.992152466367713,0.9928481278923013,3540-28-23-2457,2.6424267,0.8258928571428571,0.7265625,0.8266666666666665,93-35-4-92,25
6,2022-10-28 15:05:38.276,0.06230936,0.9970238095238095,0.9969170403587444,0.9974761637689289,3557-11-7-2473,2.208221,0.9866071428571429,1.0,0.9884169884169884,128-0-3-93,49
7,2022-10-28 15:06:26.360,0.056127958,0.9995039682539683,0.999439461883408,0.9995795374912404,3566-2-1-2479,1.8982273,1.0,1.0,1.0,128-0-0-96,47
8,2022-10-28 15:07:14.217,0.05099439,0.999834656084656,1.0,0.9998598851057868,3568-0-1-2479,1.6610352,1.0,1.0,1.0,128-0-0-96,47
9,2022-10-28 15:08:02.288,0.046959568,0.9993386243386243,0.999439461883408,0.999439461883408,3566-2-2-2478,1.4765776,1.0,1.0,1.0,128-0-0-96,47
10,2022-10-28 15:08:51.676,0.044934917,0.9950396825396826,0.9949551569506726,0.9957924263674615,3550-18-12-2468,2.1018631,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
11,2022-10-28 15:09:41.760,0.04832955,0.9799933862433863,0.9831838565022422,0.9830460978001961,3508-60-61-2419,2.0750985,0.42857142857142855,0.0,0.0,0-128-0-96,0
12,2022-10-28 15:10:32.031,0.047237642,0.9948743386243386,0.9943946188340808,0.9956503437631542,3548-20-11-2469,2.6455357,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
13,2022-10-28 15:11:22.039,0.046307374,0.9947089947089947,0.9941143497757847,0.9955094021891665,3547-21-11-2469,2.5931299,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
14,2022-10-28 15:12:12.102,0.044520013,0.998181216931217,0.9983183856502242,0.998458304134548,3562-6-5-2475,2.4451296,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
15,2022-10-28 15:13:02.269,0.04275179,0.9993386243386243,0.999439461883408,0.999439461883408,3566-2-2-2478,2.2966077,0.875,1.0,0.9014084507042254,128-0-28-68,47
16,2022-10-28 15:13:52.497,0.040981453,1.0,1.0,1.0,3568-0-0-2480,2.168079,0.9196428571428571,1.0,0.9343065693430657,128-0-18-78,50
17,2022-10-28 15:14:42.634,0.03979901,0.9971891534391535,0.9974775784753364,0.9976173791170289,3559-9-8-2472,2.0408564,1.0,1.0,1.0,128-0-0-96,48
18,2022-10-28 15:15:32.606,0.038315345,1.0,1.0,1.0,3568-0-0-2480,1.927572,1.0,1.0,1.0,128-0-0-96,47
19,2022-10-28 15:16:22.883,0.037036374,0.9996693121693122,0.9997197309417041,0.9997197309417041,3567-1-1-2479,1.8262455,1.0,1.0,1.0,128-0-0-96,48
20,2022-10-28 15:17:12.857,0.035779275,0.999834656084656,1.0,0.9998598851057868,3568-0-1-2479,1.7349714,1.0,1.0,1.0,128-0-0-96,47
21,2022-10-28 15:18:02.928,0.034626894,1.0,1.0,1.0,3568-0-0-2480,1.6523727,1.0,1.0,1.0,128-0-0-96,47
22,2022-10-28 15:18:53.061,0.0335684,1.0,1.0,1.0,3568-0-0-2480,1.577279,1.0,1.0,1.0,128-0-0-96,48
23,2022-10-28 15:19:43.235,0.03482985,0.9839616402116402,0.984304932735426,0.9863783176520151,3512-56-41-2439,2.0893679,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
24,2022-10-28 15:20:33.496,0.035270125,0.9910714285714286,0.9915919282511211,0.9924263674614305,3538-30-24-2456,2.0221384,0.75,0.8125,0.787878787878788,104-24-32-64,44
25,2022-10-28 15:21:23.700,0.03508816,0.9957010582010583,0.9957959641255605,0.9963544587773415,3553-15-11-2469,2.010097,0.5982142857142857,0.984375,0.7368421052631579,126-2-88-8,49
26,2022-10-28 15:22:13.685,0.034648124,0.9968584656084656,0.9974775784753364,0.9973378170099482,3559-9-10-2470,1.9669114,0.75,0.578125,0.7254901960784313,74-54-2-94,17
27,2022-10-28 15:23:03.802,0.034111395,0.9990079365079365,0.9991591928251121,0.9991591928251121,3565-3-3-2477,1.8947667,1.0,1.0,1.0,128-0-0-96,48
28,2022-10-28 15:23:53.966,0.033918634,0.99619708994709,0.9966367713004485,0.9967764540995094,3556-12-11-2469,2.1514988,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
29,2022-10-28 15:24:44.092,0.03339525,0.9990079365079365,0.9985986547085202,0.9991587212563096,3563-5-1-2479,2.1986802,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
30,2022-10-28 15:25:34.418,0.03297555,0.9983465608465608,0.9983183856502242,0.9985982618446874,3562-6-4-2476,2.1329198,0.9375,0.9765625,0.946969696969697,125-3-11-85,46
31,2022-10-28 15:26:24.447,0.032490976,0.9991732804232805,0.999439461883408,0.9992994255289338,3566-2-3-2477,2.0665739,1.0,1.0,1.0,128-0-0-96,48
32,2022-10-28 15:27:14.359,0.032150067,0.9976851851851852,0.9977578475336323,0.9980375665825624,3560-8-6-2474,2.9184124,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
33,2022-10-28 15:28:04.347,0.03162418,0.999834656084656,1.0,0.9998598851057868,3568-0-1-2479,2.8530507,0.6830357142857143,0.4453125,0.6162162162162163,57-71-0-96,1
34,2022-10-28 15:28:54.330,0.031226205,0.9990079365079365,0.9991591928251121,0.9991591928251121,3565-3-3-2477,2.770322,0.9955357142857143,0.9921875,0.996078431372549,127-1-0-96,40
35,2022-10-28 15:29:44.396,0.030774165,0.9990079365079365,0.9988789237668162,0.9991589571068124,3564-4-2-2478,2.7102091,0.5982142857142857,0.359375,0.5054945054945055,46-82-8-88,9
36,2022-10-28 15:30:34.558,0.030282112,0.999834656084656,1.0,0.9998598851057868,3568-0-1-2479,2.6349952,1.0,1.0,1.0,128-0-0-96,48
37,2022-10-28 15:31:24.569,0.029813642,0.9995039682539683,0.999439461883408,0.9995795374912404,3566-2-1-2479,2.5650399,0.9821428571428571,0.9765625,0.9842519685039369,125-3-1-95,41
38,2022-10-28 15:32:14.594,0.029371755,0.9991732804232805,0.9991591928251121,0.9992992291520673,3565-3-2-2478,2.497963,1.0,1.0,1.0,128-0-0-96,45
39,2022-10-28 15:33:04.640,0.028902886,1.0,1.0,1.0,3568-0-0-2480,2.4339283,1.0,1.0,1.0,128-0-0-96,48
