epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-29 13:04:14.835,0.09031432,0.9768518518518519,0.9777339346110485,0.980220401243289,3469-79-61-2439,0.58708906,0.6205357142857143,0.9696969696969697,0.750733137829912,128-4-81-11,49
2,2022-10-29 13:08:59.390,0.075054556,0.9877645502645502,0.9892897406989853,0.9895686495630109,3510-38-36-2464,0.3785551,0.9419642857142857,0.9015151515151515,0.9482071713147411,119-13-0-92,14
3,2022-10-29 13:13:07.043,0.06031498,0.9966931216931217,0.9957722660653889,0.9971775331639853,3533-15-5-2495,0.25290865,1.0,1.0,1.0,132-0-0-92,43
4,2022-10-29 13:17:14.782,0.049893063,0.9991732804232805,0.9994363021420518,0.9992954769620966,3546-2-3-2497,0.19060616,1.0,1.0,1.0,132-0-0-92,47
5,2022-10-29 13:21:22.298,0.05239597,0.9857804232804233,0.9873167981961668,0.9878736604624929,3503-45-41-2459,0.15723598,1.0,1.0,1.0,132-0-0-92,44
6,2022-10-29 13:25:29.795,0.047616962,0.9990079365079365,0.9985907553551296,0.9991539763113366,3543-5-1-2499,0.1363388,1.0,1.0,1.0,132-0-0-92,38
7,2022-10-29 13:29:37.286,0.04315871,0.9996693121693122,0.9997181510710259,0.9997181510710259,3547-1-1-2499,0.117040835,1.0,1.0,1.0,132-0-0-92,45
8,2022-10-29 13:33:44.649,0.03942681,0.999834656084656,0.9997181510710259,0.9998590556730091,3547-1-0-2500,0.10246955,1.0,1.0,1.0,132-0-0-92,45
9,2022-10-29 13:37:52.060,0.036427755,1.0,1.0,1.0,3548-0-0-2500,0.09113772,1.0,1.0,1.0,132-0-0-92,46
10,2022-10-29 13:41:59.054,0.038372997,0.9884259259259259,0.9892897406989853,0.9901269393511988,3510-38-32-2468,0.084393196,0.9955357142857143,0.9924242424242424,0.9961977186311787,131-1-0-92,31
11,2022-10-29 13:46:06.069,0.03830629,0.9948743386243386,0.9954904171364148,0.9956307258632838,3532-16-15-2485,0.078669086,1.0,1.0,1.0,132-0-0-92,38
12,2022-10-29 13:50:12.795,0.03671936,0.9988425925925926,0.9994363021420518,0.9990139456261445,3546-2-5-2495,0.072972335,1.0,1.0,1.0,132-0-0-92,44
13,2022-10-29 13:54:19.533,0.035607707,0.9985119047619048,0.9985907553551296,0.9987315010570825,3543-5-4-2496,0.06980657,1.0,1.0,1.0,132-0-0-92,47
14,2022-10-29 13:58:26.257,0.034259763,0.9996693121693122,0.9997181510710259,0.9997181510710259,3547-1-1-2499,0.06495112,1.0,1.0,1.0,132-0-0-92,47
15,2022-10-29 14:02:33.069,0.03285901,0.9995039682539683,0.9997181510710259,0.9995772861772579,3547-1-2-2498,0.060634937,1.0,1.0,1.0,132-0-0-92,43
16,2022-10-29 14:06:39.892,0.031575315,1.0,1.0,1.0,3548-0-0-2500,0.05689656,1.0,1.0,1.0,132-0-0-92,44
17,2022-10-29 14:10:46.770,0.030401865,1.0,1.0,1.0,3548-0-0-2500,0.053573377,1.0,1.0,1.0,132-0-0-92,45
