epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-30 13:33:21.230,0.22471973,0.9209656084656085,0.912982652490207,0.9317532838378069,3263-311-167-2307,0.6930313,0.4419642857142857,0.0234375,0.04580152671755725,3-125-0-96,0
2,2022-10-30 13:34:52.483,0.17731452,0.9639550264550265,0.9560716284275321,0.9690867838910946,3417-157-61-2413,0.80576473,0.8035714285714286,1.0,0.8533333333333333,128-0-44-52,47
3,2022-10-30 13:36:23.730,0.16175471,0.9641203703703703,0.952993844432009,0.9691278987053635,3406-168-49-2425,0.5922328,0.9553571428571429,0.921875,0.959349593495935,118-10-0-96,11
4,2022-10-30 13:37:54.640,0.13942762,0.9859457671957672,0.9818130945719082,0.9880332253977192,3509-65-20-2454,0.45027107,0.9910714285714286,0.984375,0.9921259842519685,126-2-0-96,37
5,2022-10-30 13:39:25.955,0.1248031,0.9871031746031746,0.9834918858421936,0.9890264490714687,3515-59-19-2455,3.9906406,0.5714285714285714,1.0,0.7272727272727273,128-0-96-0,50
6,2022-10-30 13:41:09.694,0.122043915,0.9710648148148148,0.9647453833240067,0.9752510253146655,3448-126-49-2425,3.4347653,0.7544642857142857,0.5703125,0.7263681592039801,73-55-0-96,3
7,2022-10-30 13:42:41.297,0.116098784,0.9839616402116402,0.980693900391718,0.9863514844519488,3505-69-28-2446,2.948386,0.9955357142857143,0.9921875,0.996078431372549,127-1-0-96,42
8,2022-10-30 13:44:13.060,0.10928547,0.9889219576719577,0.9868494683827644,0.9905912090998457,3527-47-20-2454,2.5861726,0.9776785714285714,0.9921875,0.9806949806949806,127-1-4-92,40
9,2022-10-30 13:45:44.440,0.10225632,0.9945436507936508,0.9924454392837158,0.9953697207801319,3547-27-6-2468,2.3029773,0.9910714285714286,0.984375,0.9921259842519685,126-2-0-96,33
10,2022-10-30 13:47:16.044,0.09566874,0.9975198412698413,0.9963626189143816,0.9978982765868012,3561-13-2-2472,2.0738156,0.9955357142857143,0.9921875,0.996078431372549,127-1-0-96,35
11,2022-10-30 13:48:47.341,0.08991787,0.9983465608465608,0.9972020145495244,0.9985990473521995,3564-10-0-2474,1.8858914,1.0,1.0,1.0,128-0-0-96,36
12,2022-10-30 13:50:18.650,0.0937131,0.9624669312169312,0.9538332400671516,0.9677785663591199,3409-165-62-2412,1.7316991,0.9910714285714286,1.0,0.9922480620155039,128-0-2-94,38
13,2022-10-30 13:51:50.727,0.09222918,0.9859457671957672,0.9820928931169558,0.988036593947924,3510-64-21-2453,1.6064255,0.9642857142857143,0.9375,0.967741935483871,120-8-0-96,16
14,2022-10-30 13:53:22.704,0.09011495,0.9895833333333334,0.9879686625629547,0.991157894736842,3531-43-20-2454,1.4943782,0.9866071428571429,0.984375,0.988235294117647,126-2-1-95,38
15,2022-10-30 13:54:54.412,0.08786218,0.9920634920634921,0.98964745383324,0.9932603201347935,3537-37-11-2463,1.3961023,0.9955357142857143,0.9921875,0.996078431372549,127-1-0-96,39
16,2022-10-30 13:56:26.149,0.08568702,0.9925595238095238,0.9907666480134303,0.993685982881998,3541-33-12-2462,1.3100282,0.9910714285714286,0.984375,0.9921259842519685,126-2-0-96,35
17,2022-10-30 13:57:57.859,0.082975246,0.9978505291005291,0.9966424174594292,0.9981785063752276,3562-12-1-2473,1.2341818,0.9910714285714286,0.984375,0.9921259842519685,126-2-0-96,36
18,2022-10-30 13:59:29.365,0.08058902,0.99619708994709,0.9946838276440962,0.9967755502593579,3555-19-4-2470,1.1661881,1.0,1.0,1.0,128-0-0-96,36
19,2022-10-30 14:01:01.566,0.078103326,0.9983465608465608,0.9972020145495244,0.9985990473521995,3564-10-0-2474,1.1053327,1.0,1.0,1.0,128-0-0-96,34
20,2022-10-30 14:02:33.646,0.07571112,0.9990079365079365,0.9983212087297146,0.9991598991879026,3568-6-0-2474,1.0503513,1.0,1.0,1.0,128-0-0-96,40
21,2022-10-30 14:04:05.259,0.07343864,0.9990079365079365,0.9983212087297146,0.9991598991879026,3568-6-0-2474,1.0007385,1.0,1.0,1.0,128-0-0-96,41
22,2022-10-30 14:05:36.801,0.07129259,0.9991732804232805,0.9986010072747622,0.99930001399972,3569-5-0-2474,0.95541805,1.0,1.0,1.0,128-0-0-96,43
23,2022-10-30 14:07:08.441,0.0692426,0.9993386243386243,0.9988808058198098,0.9994400895856663,3570-4-0-2474,0.9140211,1.0,1.0,1.0,128-0-0-96,43
24,2022-10-30 14:08:40.039,0.06802455,0.9935515873015873,0.9927252378287633,0.9945339873861246,3548-26-13-2461,1.157237,0.4330357142857143,0.671875,0.5752508361204013,86-42-85-11,43
25,2022-10-30 14:10:11.659,0.06908572,0.9770171957671958,0.9720201454952434,0.9803866233949485,3474-100-39-2435,1.1131723,0.9821428571428571,0.96875,0.9841269841269841,124-4-0-96,26
26,2022-10-30 14:11:43.156,0.06836812,0.9927248677248677,0.9916060436485731,0.9938306225462703,3544-30-14-2460,1.0706792,1.0,1.0,1.0,128-0-0-96,38
27,2022-10-30 14:13:14.718,0.06769585,0.9943783068783069,0.9924454392837158,0.9952300785634118,3547-27-7-2467,1.0324966,0.9821428571428571,0.9765625,0.9842519685039369,125-3-1-95,35
28,2022-10-30 14:14:46.272,0.06692415,0.9947089947089947,0.993564633463906,0.9955144379029998,3551-23-9-2465,1.0017045,0.9285714285714286,0.875,0.9333333333333333,112-16-0-96,17
29,2022-10-30 14:16:17.742,0.06620024,0.9943783068783069,0.9930050363738109,0.9952327537857544,3549-25-9-2465,0.9682093,0.9910714285714286,0.984375,0.9921259842519685,126-2-0-96,32
30,2022-10-30 14:17:49.185,0.065666996,0.9920634920634921,0.9902070509233352,0.9932641032837496,3539-35-13-2461,0.9372632,0.9866071428571429,0.9765625,0.9881422924901185,125-3-0-96,28
31,2022-10-30 14:19:20.718,0.0647814,0.9971891534391535,0.9963626189143816,0.9976187141056171,3561-13-4-2470,0.90804595,0.9910714285714286,0.984375,0.9921259842519685,126-2-0-96,32
32,2022-10-30 14:20:52.229,0.06380921,0.9973544973544973,0.9963626189143816,0.9977584757635192,3561-13-3-2471,0.88118875,0.9866071428571429,0.9765625,0.9881422924901185,125-3-0-96,28
33,2022-10-30 14:22:23.818,0.06298951,0.9963624338624338,0.9955232232792389,0.9969179041748388,3558-16-6-2468,0.8550404,0.9955357142857143,0.9921875,0.996078431372549,127-1-0-96,41
34,2022-10-30 14:23:55.325,0.06208105,0.9983465608465608,0.997481813094572,0.9985994397759104,3565-9-1-2473,0.8301924,1.0,1.0,1.0,128-0-0-96,35
35,2022-10-30 14:25:26.801,0.061319582,0.9963624338624338,0.9955232232792389,0.9969179041748388,3558-16-6-2468,0.8066407,1.0,1.0,1.0,128-0-0-96,34
36,2022-10-30 14:26:58.323,0.060378518,0.9991732804232805,0.9988808058198098,0.999300209937019,3570-4-1-2473,0.78437275,1.0,1.0,1.0,128-0-0-96,37
37,2022-10-30 14:28:29.725,0.059420045,0.9991732804232805,0.9986010072747622,0.99930001399972,3569-5-0-2474,0.763322,1.0,1.0,1.0,128-0-0-96,44
38,2022-10-30 14:30:01.347,0.058519423,0.9993386243386243,0.9991606043648573,0.9994402462916316,3571-3-1-2473,0.74476475,0.9821428571428571,0.96875,0.9841269841269841,124-4-0-96,19
39,2022-10-30 14:31:32.775,0.05765815,0.9988425925925926,0.9986010072747622,0.9990202939118265,3569-5-2-2472,0.7258378,1.0,1.0,1.0,128-0-0-96,34
40,2022-10-30 14:33:04.201,0.056834366,0.9985119047619048,0.9980414101846671,0.9987400251994961,3567-7-2-2472,0.70777595,1.0,1.0,1.0,128-0-0-96,39
41,2022-10-30 14:34:35.714,0.055975378,0.9988425925925926,0.9980414101846671,0.9990197451337348,3567-7-0-2474,0.6905575,1.0,1.0,1.0,128-0-0-96,42
42,2022-10-30 14:36:07.152,0.05515275,0.9991732804232805,0.9988808058198098,0.999300209937019,3570-4-1-2473,0.67419773,1.0,1.0,1.0,128-0-0-96,40
43,2022-10-30 14:37:38.599,0.054336894,0.9991732804232805,0.9986010072747622,0.99930001399972,3569-5-0-2474,0.65859866,1.0,1.0,1.0,128-0-0-96,43
44,2022-10-30 14:39:10.081,0.053507484,0.9990079365079365,0.9988808058198098,0.9991603694374475,3570-4-2-2472,0.64367396,1.0,1.0,1.0,128-0-0-96,43
45,2022-10-30 14:40:41.677,0.05270919,0.9988425925925926,0.9980414101846671,0.9990197451337348,3567-7-0-2474,0.6294193,1.0,1.0,1.0,128-0-0-96,43
46,2022-10-30 14:42:13.273,0.051932078,0.9991732804232805,0.9988808058198098,0.999300209937019,3570-4-1-2473,0.6157724,1.0,1.0,1.0,128-0-0-96,43
47,2022-10-30 14:43:44.825,0.051180344,0.9986772486772487,0.9980414101846671,0.9988798655838701,3567-7-1-2473,0.6027082,1.0,1.0,1.0,128-0-0-96,41
48,2022-10-30 14:45:16.378,0.05044241,0.9995039682539683,0.9991606043648573,0.9995801259622114,3571-3-0-2474,0.59018356,1.0,1.0,1.0,128-0-0-96,40
49,2022-10-30 14:46:47.955,0.049739562,0.9990079365079365,0.9991606043648573,0.9991606043648573,3571-3-3-2471,0.5781689,1.0,1.0,1.0,128-0-0-96,40
50,2022-10-30 14:48:19.438,0.050244853,0.9831349206349206,0.9812534974818131,0.9856661045531196,3507-67-35-2439,0.56802803,0.9776785714285714,0.9609375,0.9800796812749004,123-5-0-96,25
51,2022-10-30 14:49:50.853,0.050044175,0.9947089947089947,0.9952434247341914,0.9955219703330536,3557-17-15-2459,0.55805236,0.9776785714285714,0.9609375,0.9800796812749004,123-5-0-96,28
52,2022-10-30 14:51:22.317,0.049748186,0.9976851851851852,0.9972020145495244,0.9980397647717726,3564-10-4-2470,0.5477151,0.9955357142857143,0.9921875,0.996078431372549,127-1-0-96,37
53,2022-10-30 14:52:53.903,0.049471684,0.9965277777777778,0.9958030218242865,0.9970584115422328,3559-15-6-2468,0.5375024,1.0,1.0,1.0,128-0-0-96,37
54,2022-10-30 14:54:25.378,0.049061682,0.9993386243386243,0.9988808058198098,0.9994400895856663,3570-4-0-2474,0.5279663,0.9910714285714286,1.0,0.9922480620155039,128-0-2-94,44
55,2022-10-30 14:56:00.427,0.048869554,0.9947089947089947,0.9944040290990487,0.9955182072829131,3554-20-12-2462,0.5223216,0.9241071428571429,0.8671875,0.9288702928870293,111-17-0-96,16
56,2022-10-30 14:57:37.936,0.048527684,0.9986772486772487,0.9983212087297146,0.9988801791713326,3568-6-2-2472,0.51317936,0.9955357142857143,0.9921875,0.996078431372549,127-1-0-96,37
57,2022-10-30 14:59:15.438,0.048229653,0.9978505291005291,0.9969222160044767,0.9981790166690012,3563-11-2-2472,0.50471807,0.9910714285714286,0.984375,0.9921259842519685,126-2-0-96,31
58,2022-10-30 15:00:53.007,0.047936667,0.9973544973544973,0.9963626189143816,0.9977584757635192,3561-13-3-2471,0.5006809,0.9330357142857143,0.8828125,0.9377593360995851,113-15-0-96,12
59,2022-10-30 15:02:30.634,0.04765094,0.9976851851851852,0.9972020145495244,0.9980397647717726,3564-10-4-2470,0.4923737,0.9955357142857143,0.9921875,0.996078431372549,127-1-0-96,39
60,2022-10-30 15:04:08.229,0.047307726,0.9983465608465608,0.9977616116396195,0.9985998319798376,3566-8-2-2472,0.48422253,1.0,1.0,1.0,128-0-0-96,39
61,2022-10-30 15:05:45.758,0.046961855,0.9985119047619048,0.9980414101846671,0.9987400251994961,3567-7-2-2472,0.47648624,1.0,1.0,1.0,128-0-0-96,34
62,2022-10-30 15:07:23.298,0.046692435,0.9978505291005291,0.9972020145495244,0.998179526676936,3564-10-3-2471,0.46950683,0.9776785714285714,0.9609375,0.9800796812749004,123-5-0-96,27
63,2022-10-30 15:09:00.779,0.046422005,0.9971891534391535,0.9966424174594292,0.9976193810390701,3562-12-5-2469,0.46615946,0.8973214285714286,0.8203125,0.9012875536480687,105-23-0-96,13
64,2022-10-30 15:10:38.396,0.046112407,0.9978505291005291,0.9977616116396195,0.9981805458362492,3566-8-5-2469,0.4589388,1.0,1.0,1.0,128-0-0-96,40
