epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-24 13:39:35.617,0.16312343,0.9366732804232805,0.9458843634292224,0.9454804270462633,3321-190-193-2344,0.184734,0.9151785714285714,0.8613138686131386,0.9254901960784313,118-19-0-87,25
2,2022-10-24 13:40:40.873,0.10400675,0.9793320105820106,0.9871831387069211,0.9822870908317983,3466-45-80-2457,0.09795894,0.9955357142857143,0.9927007299270073,0.9963369963369962,136-1-0-87,48
3,2022-10-24 13:42:25.575,0.08447745,0.9773478835978836,0.9871831387069211,0.9806196067336258,3466-45-92-2445,0.35464168,0.39285714285714285,0.0072992700729927005,0.014492753623188404,1-136-0-87,0
4,2022-10-24 13:43:30.660,0.08191806,0.9692460317460317,0.9749359156935347,0.9735494880546075,3423-88-98-2439,0.28238052,0.9776785714285714,0.9635036496350365,0.9814126394052044,132-5-0-87,33
5,2022-10-24 13:44:35.527,0.07273273,0.9819775132275133,0.9883224152663059,0.9845368137324444,3470-41-68-2469,0.23374748,0.9821428571428571,0.9708029197080292,0.9851851851851852,133-4-0-87,46
6,2022-10-24 13:45:40.329,0.06546808,0.9809854497354498,0.9891768726858445,0.9837133550488599,3473-38-77-2460,0.19493878,1.0,1.0,1.0,137-0-0-87,48
7,2022-10-24 13:47:25.310,0.059964202,0.984292328042328,0.9883224152663059,0.9864960909737029,3470-41-54-2483,0.16716881,1.0,1.0,1.0,137-0-0-87,48
8,2022-10-24 13:49:10.418,0.05578716,0.9833002645502645,0.9897465109655369,0.9856757906679904,3475-36-65-2472,0.14684229,1.0,1.0,1.0,137-0-0-87,48
9,2022-10-24 13:50:55.894,0.05819246,0.9674272486772487,0.9735118199943036,0.971989193800654,3418-93-104-2433,0.22536562,0.5133928571428571,0.20437956204379562,0.3393939393939394,28-109-0-87,1
10,2022-10-24 13:52:00.656,0.056763932,0.9793320105820106,0.9863286812873825,0.9822720181534533,3463-48-77-2460,0.20381449,0.9955357142857143,0.9927007299270073,0.9963369963369962,136-1-0-87,47
