epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-28 12:42:47.436,0.22241478,0.9095568783068783,0.9191750278706801,0.9234215315693687,3298-290-257-2203,0.6592885,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
2,2022-10-28 12:45:46.384,0.13861842,0.9904100529100529,0.9896878483835005,0.9918994413407821,3551-37-21-2439,0.41187623,0.9642857142857143,0.992,0.96875,124-1-7-92,46
3,2022-10-28 12:47:37.518,0.102282435,0.9975198412698413,0.9972129319955407,0.9979082415283782,3578-10-5-2455,0.31819558,0.9642857142857143,1.0,0.9689922480620156,125-0-8-91,47
4,2022-10-28 12:49:28.588,0.082067326,0.9995039682539683,0.9994425863991081,0.9995818815331011,3586-2-1-2459,0.23919655,1.0,1.0,1.0,125-0-0-99,49
5,2022-10-28 12:52:30.023,0.07386676,0.9922288359788359,0.992196209587514,0.9934421654806753,3560-28-19-2441,0.3566342,0.65625,0.416,0.574585635359116,52-73-4-95,4
6,2022-10-28 12:54:21.011,0.07255275,0.9841269841269841,0.9863433667781494,0.9866183440200725,3539-49-47-2413,0.30965176,0.9821428571428571,0.976,0.9838709677419355,122-3-1-98,33
7,2022-10-28 12:56:12.006,0.06621589,0.9963624338624338,0.9960981047937569,0.996931659693166,3574-14-8-2452,0.31389603,0.8928571428571429,0.832,0.896551724137931,104-21-3-96,14
8,2022-10-28 12:58:02.989,0.060230315,0.9991732804232805,0.9991638795986622,0.9993031358885016,3585-3-2-2458,0.28532642,0.9598214285714286,0.928,0.9626556016597512,116-9-0-99,26
9,2022-10-28 12:59:54.075,0.055201598,1.0,1.0,1.0,3588-0-0-2460,0.25381446,1.0,1.0,1.0,125-0-0-99,49
10,2022-10-28 13:01:45.049,0.051101964,0.999834656084656,0.999721293199554,0.9998606271777003,3587-1-0-2460,0.22843863,1.0,1.0,1.0,125-0-0-99,45
11,2022-10-28 13:03:36.062,0.04770163,1.0,1.0,1.0,3588-0-0-2460,0.20767722,1.0,1.0,1.0,125-0-0-99,47
12,2022-10-28 13:05:27.061,0.044849087,0.999834656084656,0.999721293199554,0.9998606271777003,3587-1-0-2460,0.19040868,1.0,1.0,1.0,125-0-0-99,48
13,2022-10-28 13:08:24.755,0.042456917,0.999834656084656,0.999721293199554,0.9998606271777003,3587-1-0-2460,0.1865433,0.9241071428571429,0.872,0.9276595744680851,109-16-1-98,17
14,2022-10-28 13:10:15.503,0.043060195,0.9904100529100529,0.9913600891861761,0.9919129949804797,3557-31-27-2433,0.19869448,0.90625,0.952,0.9189189189189189,119-6-15-84,39
15,2022-10-28 13:12:06.538,0.042735778,0.9923941798941799,0.9924749163879598,0.9935825892857143,3561-27-19-2441,0.23222432,0.44642857142857145,0.008,0.015873015873015872,1-124-0-99,0
16,2022-10-28 13:13:57.302,0.041328773,0.9991732804232805,0.9994425863991081,0.999303330082207,3586-2-3-2457,0.21791802,1.0,1.0,1.0,125-0-0-99,45
17,2022-10-28 13:15:48.525,0.03979415,0.999834656084656,0.999721293199554,0.9998606271777003,3587-1-0-2460,0.237363,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
18,2022-10-28 13:17:39.707,0.038372256,0.9996693121693122,0.9994425863991081,0.9997212155004181,3586-2-0-2460,0.22418386,1.0,1.0,1.0,125-0-0-99,46
19,2022-10-28 13:19:30.798,0.03704984,1.0,1.0,1.0,3588-0-0-2460,0.21238494,1.0,1.0,1.0,125-0-0-99,48
20,2022-10-28 13:21:21.721,0.035827536,1.0,1.0,1.0,3588-0-0-2460,0.20177853,1.0,1.0,1.0,125-0-0-99,49
21,2022-10-28 13:23:12.639,0.0349723,0.9985119047619048,0.9986064659977704,0.9987456445993032,3583-5-4-2456,0.19241022,1.0,1.0,1.0,125-0-0-99,49
22,2022-10-28 13:25:03.374,0.03401269,0.9996693121693122,0.9994425863991081,0.9997212155004181,3586-2-0-2460,0.183669,1.0,1.0,1.0,125-0-0-99,50
23,2022-10-28 13:28:00.341,0.03307751,0.999834656084656,0.999721293199554,0.9998606271777003,3587-1-0-2460,0.17569141,1.0,1.0,1.0,125-0-0-99,47
24,2022-10-28 13:29:51.088,0.032206938,1.0,1.0,1.0,3588-0-0-2460,0.16837598,1.0,1.0,1.0,125-0-0-99,50
25,2022-10-28 13:32:49.713,0.031392038,1.0,1.0,1.0,3588-0-0-2460,0.16164185,1.0,1.0,1.0,125-0-0-99,49
26,2022-10-28 13:35:46.443,0.03062811,0.999834656084656,0.999721293199554,0.9998606271777003,3587-1-0-2460,0.15543857,1.0,1.0,1.0,125-0-0-99,50
27,2022-10-28 13:38:44.092,0.029907875,1.0,1.0,1.0,3588-0-0-2460,0.14968586,1.0,1.0,1.0,125-0-0-99,50
28,2022-10-28 13:41:42.416,0.02924129,1.0,1.0,1.0,3588-0-0-2460,0.14434639,1.0,1.0,1.0,125-0-0-99,50
29,2022-10-28 13:44:38.630,0.02862335,1.0,1.0,1.0,3588-0-0-2460,0.13937546,1.0,1.0,1.0,125-0-0-99,50
30,2022-10-28 13:47:33.439,0.02805257,1.0,1.0,1.0,3588-0-0-2460,0.14524081,0.7723214285714286,1.0,0.8305647840531561,125-0-51-48,50
31,2022-10-28 13:49:22.694,0.029908003,0.9790013227513228,0.9807692307692307,0.9822749476622471,3519-69-58-2402,0.14832608,0.8571428571428571,0.968,0.8832116788321168,121-4-28-71,36
32,2022-10-28 13:51:12.662,0.030023616,0.9966931216931217,0.9972129319955407,0.9972129319955407,3578-10-10-2450,0.14579926,0.9910714285714286,0.992,0.992,124-1-1-98,40
33,2022-10-28 13:53:02.890,0.02974826,0.9988425925925926,0.9988851727982163,0.9990243902439025,3584-4-3-2457,0.1415529,1.0,1.0,1.0,125-0-0-99,49
34,2022-10-28 13:54:53.677,0.029448435,0.9986772486772487,0.9988851727982163,0.9988851727982163,3584-4-4-2456,0.15315242,0.7589285714285714,0.632,0.7452830188679246,79-46-8-91,14
35,2022-10-28 13:56:44.427,0.029288223,0.9966931216931217,0.9972129319955407,0.9972129319955407,3578-10-10-2450,0.49093482,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
36,2022-10-28 13:58:35.440,0.028931383,0.9990079365079365,0.9988851727982163,0.9991636465012547,3584-4-2-2458,0.49384993,0.7544642857142857,1.0,0.819672131147541,125-0-55-44,49
37,2022-10-28 14:00:26.120,0.028516714,1.0,1.0,1.0,3588-0-0-2460,0.480517,1.0,1.0,1.0,125-0-0-99,48
38,2022-10-28 14:02:16.887,0.028117126,0.9996693121693122,0.9994425863991081,0.9997212155004181,3586-2-0-2460,0.46790254,1.0,1.0,1.0,125-0-0-99,48
39,2022-10-28 14:04:07.785,0.02776244,0.9995039682539683,0.999721293199554,0.9995819980493242,3587-1-2-2458,0.46494964,0.8526785714285714,0.816,0.8607594936708861,102-23-10-89,24
40,2022-10-28 14:05:58.665,0.027468594,0.9993386243386243,0.9991638795986622,0.9994424310008363,3585-3-1-2459,0.4830192,0.6339285714285714,1.0,0.7530120481927711,125-0-82-17,50
41,2022-10-28 14:07:49.508,0.027162118,0.9996693121693122,0.999721293199554,0.999721293199554,3587-1-1-2459,0.47125894,1.0,1.0,1.0,125-0-0-99,48
42,2022-10-28 14:09:40.220,0.02680993,1.0,1.0,1.0,3588-0-0-2460,0.46007165,1.0,1.0,1.0,125-0-0-99,48
43,2022-10-28 14:11:31.087,0.026466237,0.999834656084656,0.999721293199554,0.9998606271777003,3587-1-0-2460,0.44937307,1.0,1.0,1.0,125-0-0-99,48
44,2022-10-28 14:13:22.088,0.026128568,1.0,1.0,1.0,3588-0-0-2460,0.4391849,1.0,1.0,1.0,125-0-0-99,48
45,2022-10-28 14:15:12.949,0.02580825,1.0,1.0,1.0,3588-0-0-2460,0.42943075,1.0,1.0,1.0,125-0-0-99,49
46,2022-10-28 14:17:03.909,0.025496423,1.0,1.0,1.0,3588-0-0-2460,0.42009977,1.0,1.0,1.0,125-0-0-99,48
47,2022-10-28 14:18:54.889,0.025195604,1.0,1.0,1.0,3588-0-0-2460,0.41116565,1.0,1.0,1.0,125-0-0-99,49
48,2022-10-28 14:20:46.000,0.024904108,1.0,1.0,1.0,3588-0-0-2460,0.40259987,1.0,1.0,1.0,125-0-0-99,48
49,2022-10-28 14:22:36.910,0.024622696,1.0,1.0,1.0,3588-0-0-2460,0.39439023,1.0,1.0,1.0,125-0-0-99,48
50,2022-10-28 14:24:27.751,0.024350464,1.0,1.0,1.0,3588-0-0-2460,0.38650304,1.0,1.0,1.0,125-0-0-99,48
