epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-11-11 05:38:10.077,0.46000955,0.7918320105820106,0.8235294117647058,0.8229503585993531,2926-627-632-1863,1.433842,0.40625,0.0,0,0-133-0-91,0
2,2022-11-11 05:39:15.450,0.3745748,0.8814484126984127,0.8893892485223754,0.8981099900525793,3160-393-324-2171,0.8612447,0.8928571428571429,0.8195488721804511,0.9008264462809917,109-24-0-91,23
3,2022-11-11 05:40:21.785,0.30536178,0.9499007936507936,0.9459611595834506,0.9568683274021353,3361-192-111-2384,0.5993434,0.9821428571428571,0.9699248120300752,0.9847328244274809,129-4-0-91,40
4,2022-11-11 05:41:29.201,0.28277135,0.9212962962962963,0.9240078806642275,0.9324055666003975,3283-270-206-2289,0.49226665,0.9419642857142857,0.9022556390977443,0.9486166007905138,120-13-0-91,38
5,2022-11-11 05:42:37.385,0.25993648,0.941468253968254,0.9425837320574163,0.9498014747589337,3349-204-150-2345,0.46275198,0.8348214285714286,0.7218045112781954,0.8384279475982532,96-37-0-91,20
6,2022-11-11 05:43:45.364,0.2348618,0.9690806878306878,0.96819589079651,0.9735389840101881,3440-113-74-2421,0.42768484,0.8973214285714286,0.8345864661654135,0.9061224489795919,111-22-1-90,26
7,2022-11-11 05:44:53.403,0.2121202,0.9833002645502645,0.9825499577821559,0.9857405054355498,3491-62-39-2456,0.38167587,0.9508928571428571,0.9172932330827067,0.9568627450980391,122-11-0-91,30
8,2022-11-11 05:46:01.386,0.1923056,0.9914021164021164,0.9895862651280608,0.9926595143986447,3516-37-15-2480,0.33577663,1.0,1.0,1.0,133-0-0-91,42
9,2022-11-11 05:47:09.622,0.17554565,0.9965277777777778,0.9952153110047847,0.9970393345551953,3536-17-4-2491,0.29917547,1.0,1.0,1.0,133-0-0-91,44
10,2022-11-11 05:48:17.677,0.16833295,0.9704034391534392,0.9732620320855615,0.9747709654686398,3458-95-84-2411,0.469655,0.59375,1.0,0.7450980392156863,133-0-91-0,50
11,2022-11-11 05:49:27.895,0.16214748,0.970734126984127,0.9707289614410357,0.9749823321554769,3449-104-73-2422,0.70120776,0.5446428571428571,0.23308270676691728,0.3780487804878049,31-102-0-91,1
12,2022-11-11 05:50:36.048,0.15491684,0.982308201058201,0.9825499577821559,0.9849061926929045,3491-62-45-2450,0.6495492,0.96875,0.9473684210526315,0.972972972972973,126-7-0-91,34
13,2022-11-11 05:51:44.150,0.14750926,0.9880952380952381,0.9867717421896989,0.9898362507058159,3506-47-25-2470,0.6317127,0.84375,0.7368421052631579,0.8484848484848484,98-35-0-91,20
14,2022-11-11 05:52:52.316,0.14048825,0.9920634920634921,0.9921193357725866,0.9932375316990701,3525-28-20-2475,0.59045154,0.9776785714285714,1.0,0.981549815498155,133-0-5-86,49
15,2022-11-11 05:54:00.303,0.13388366,0.9950396825396826,0.9946524064171123,0.9957734573119188,3534-19-11-2484,0.5568337,0.9642857142857143,0.9473684210526315,0.9692307692307692,126-7-1-90,26
16,2022-11-11 05:55:08.522,0.12784089,0.9970238095238095,0.9969040247678018,0.9974655026753028,3542-11-7-2488,0.5226808,0.9955357142857143,0.9924812030075187,0.9962264150943396,132-1-0-91,42
17,2022-11-11 05:56:16.590,0.12214739,0.998181216931217,0.9977483816493105,0.9984509224052951,3545-8-3-2492,0.49214295,1.0,1.0,1.0,133-0-0-91,44
18,2022-11-11 05:57:24.600,0.11691431,0.9990079365079365,0.998592738530819,0.9991551675584341,3548-5-1-2494,0.46491864,1.0,1.0,1.0,133-0-0-91,44
19,2022-11-11 05:58:32.875,0.11207769,0.9995039682539683,0.9994370954123276,0.9995777621393385,3551-2-1-2494,0.44050375,1.0,1.0,1.0,133-0-0-91,47
