epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-28 04:39:25.689,0.15486805,0.9454365079365079,0.95073754522683,0.9539234850600392,3416-177-153-2302,0.304348,0.8839285714285714,0.7952755905511811,0.8859649122807018,101-26-0-97,10
2,2022-10-28 04:40:47.065,0.09789576,0.9943783068783069,0.9938769830225438,0.9952619843924191,3571-22-12-2443,0.33471203,0.8928571428571429,0.84251968503937,0.8991596638655461,107-20-4-93,13
3,2022-10-28 04:42:08.857,0.07336591,0.9991732804232805,0.9991650431394378,0.999304105775922,3590-3-2-2453,0.22524366,0.9955357142857143,0.9921259842519685,0.9960474308300395,126-1-0-97,48
4,2022-10-28 04:44:21.925,0.07033543,0.986441798941799,0.987475647091567,0.9885762050710505,3548-45-37-2418,0.5142723,0.5892857142857143,0.2755905511811024,0.4320987654320988,35-92-0-97,0
5,2022-10-28 04:45:43.776,0.064820126,0.9935515873015873,0.9941553019760646,0.9945705137129333,3572-21-18-2437,0.5531777,0.5758928571428571,0.28346456692913385,0.4311377245508982,36-91-4-93,6
6,2022-10-28 04:47:05.723,0.05843555,0.998181216931217,0.9983300862788755,0.9984690327070286,3587-6-5-2450,0.4687224,0.9955357142857143,1.0,0.996078431372549,127-0-1-96,47
7,2022-10-28 04:48:27.917,0.05251887,0.999834656084656,1.0,0.999860859885905,3593-0-1-2454,0.4018168,1.0,1.0,1.0,127-0-0-97,48
8,2022-10-28 04:49:50.235,0.047907684,0.999834656084656,1.0,0.999860859885905,3593-0-1-2454,0.3516609,1.0,1.0,1.0,127-0-0-97,48
9,2022-10-28 04:51:12.869,0.04423569,0.999834656084656,1.0,0.999860859885905,3593-0-1-2454,0.31266028,1.0,1.0,1.0,127-0-0-97,48
10,2022-10-28 04:52:35.344,0.041304965,1.0,1.0,1.0,3593-0-0-2455,0.2882366,0.9821428571428571,0.9763779527559056,0.9841269841269842,124-3-1-96,29
11,2022-10-28 04:53:57.927,0.042902343,0.9874338624338624,0.987475647091567,0.9894032348020078,3548-45-31-2424,0.3241517,0.45982142857142855,0.047244094488188976,0.09022556390977444,6-121-0-97,0
12,2022-10-28 04:55:20.146,0.041981358,0.9953703703703703,0.9952685777901475,0.996100278551532,3576-17-11-2444,0.29921937,0.9910714285714286,0.9921259842519685,0.9921259842519685,126-1-1-96,48
13,2022-10-28 04:56:42.690,0.04087115,0.9953703703703703,0.995825215697189,0.9961024498886415,3578-15-13-2442,0.27692178,1.0,1.0,1.0,127-0-0-97,48
14,2022-10-28 04:58:05.026,0.03950741,0.9983465608465608,0.9986084052323964,0.9986084052323964,3588-5-5-2450,0.3288549,0.5669642857142857,1.0,0.7236467236467237,127-0-97-0,50
15,2022-10-28 04:59:27.106,0.03806371,0.9991732804232805,0.9991650431394378,0.999304105775922,3590-3-2-2453,0.31310913,0.9866071428571429,0.984251968503937,0.9881422924901185,125-2-1-96,34
16,2022-10-28 05:00:49.462,0.036661465,0.999834656084656,1.0,0.999860859885905,3593-0-1-2454,0.29363102,1.0,1.0,1.0,127-0-0-97,48
17,2022-10-28 05:02:11.518,0.03534595,0.999834656084656,1.0,0.999860859885905,3593-0-1-2454,0.2852405,0.9598214285714286,0.9448818897637795,0.9638554216867471,120-7-2-95,24
18,2022-10-28 05:03:33.723,0.034204144,0.999834656084656,0.9997216810464793,0.9998608211551844,3592-1-0-2455,0.26949185,1.0,1.0,1.0,127-0-0-97,48
19,2022-10-28 05:04:55.859,0.03308046,1.0,1.0,1.0,3593-0-0-2455,0.25538084,1.0,1.0,1.0,127-0-0-97,48
20,2022-10-28 05:06:18.062,0.032065466,1.0,1.0,1.0,3593-0-0-2455,0.24264628,1.0,1.0,1.0,127-0-0-97,48
21,2022-10-28 05:07:40.145,0.031134604,1.0,1.0,1.0,3593-0-0-2455,0.23112361,1.0,1.0,1.0,127-0-0-97,48
