epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-11-09 06:24:14.467,0.14703873,0.9502314814814815,0.9545712663259511,0.957153024911032,3362-160-141-2385,0.36696097,0.8169642857142857,0.8985507246376812,0.8581314878892733,124-14-27-59,36
2,2022-11-09 06:25:18.262,0.095456176,0.9933862433862434,0.9929017603634299,0.9943133352288883,3497-25-15-2511,0.4381908,0.8883928571428571,0.8840579710144928,0.9070631970260224,122-16-9-77,31
3,2022-11-09 06:26:23.276,0.070933364,0.9988425925925926,0.998580352072686,0.9990058230365004,3517-5-2-2524,0.29277262,1.0,1.0,1.0,138-0-0-86,48
4,2022-11-09 06:28:07.595,0.06983913,0.984292328042328,0.9849517319704714,0.9864922508175743,3469-53-42-2484,0.5026213,0.38392857142857145,0.0,0.0,0-138-0-86,0
5,2022-11-09 06:29:12.548,0.06378451,0.9938822751322751,0.9929017603634299,0.9947375906698904,3497-25-12-2514,0.43133858,0.9642857142857143,0.9565217391304348,0.9705882352941176,132-6-2-84,22
6,2022-11-09 06:30:17.441,0.05778698,0.9970238095238095,0.9968767745599092,0.9974431818181818,3511-11-7-2519,0.35946974,1.0,1.0,1.0,138-0-0-86,48
7,2022-11-09 06:31:22.462,0.05182649,0.999834656084656,0.9997160704145373,0.9998580150504047,3521-1-0-2526,0.3082001,1.0,1.0,1.0,138-0-0-86,49
8,2022-11-09 06:32:27.329,0.047102686,1.0,1.0,1.0,3522-0-0-2526,0.26972738,1.0,1.0,1.0,138-0-0-86,49
9,2022-11-09 06:34:11.780,0.043365654,1.0,1.0,1.0,3522-0-0-2526,0.23979877,1.0,1.0,1.0,138-0-0-86,49
10,2022-11-09 06:35:57.227,0.040417016,1.0,1.0,1.0,3522-0-0-2526,0.24005094,0.8839285714285714,0.8115942028985508,0.896,112-26-0-86,4
11,2022-11-09 06:37:02.088,0.038249657,0.9995039682539683,0.9994321408290744,0.999574045151214,3520-2-1-2525,0.21857826,1.0,1.0,1.0,138-0-0-86,39
12,2022-11-09 06:38:07.095,0.04017799,0.9857804232804233,0.9852356615559341,0.9877597495018502,3470-52-34-2492,0.26431704,0.6964285714285714,0.5072463768115942,0.6730769230769231,70-68-0-86,0
13,2022-11-09 06:39:12.084,0.039129995,0.9970238095238095,0.9974446337308348,0.9974446337308348,3513-9-9-2517,0.31274396,0.6383928571428571,0.41304347826086957,0.5846153846153846,57-81-0-86,1
14,2022-11-09 06:40:17.147,0.037668657,0.9985119047619048,0.9988642816581488,0.998722498225692,3518-4-5-2521,0.2906132,1.0,1.0,1.0,138-0-0-86,50
15,2022-11-09 06:41:22.349,0.036116656,0.999834656084656,0.9997160704145373,0.9998580150504047,3521-1-0-2526,0.27125174,1.0,1.0,1.0,138-0-0-86,50
16,2022-11-09 06:42:27.351,0.03467767,1.0,1.0,1.0,3522-0-0-2526,0.25434354,1.0,1.0,1.0,138-0-0-86,49
17,2022-11-09 06:43:32.415,0.03337114,1.0,1.0,1.0,3522-0-0-2526,0.24019367,1.0,1.0,1.0,138-0-0-86,49
18,2022-11-09 06:44:37.341,0.03219256,1.0,1.0,1.0,3522-0-0-2526,0.22714515,1.0,1.0,1.0,138-0-0-86,50
19,2022-11-09 06:46:22.336,0.031123322,1.0,1.0,1.0,3522-0-0-2526,0.21519752,1.0,1.0,1.0,138-0-0-86,50
20,2022-11-09 06:48:07.071,0.03015178,1.0,1.0,1.0,3522-0-0-2526,0.20450328,1.0,1.0,1.0,138-0-0-86,50
21,2022-11-09 06:49:52.621,0.029269893,1.0,1.0,1.0,3522-0-0-2526,0.19477673,1.0,1.0,1.0,138-0-0-86,50
22,2022-11-09 06:51:38.325,0.028460281,1.0,1.0,1.0,3522-0-0-2526,0.18593374,1.0,1.0,1.0,138-0-0-86,50
23,2022-11-09 06:53:23.758,0.02963378,0.9857804232804233,0.9863713798977853,0.9877736707421098,3474-48-38-2488,0.22290044,0.4642857142857143,0.13043478260869565,0.23076923076923078,18-120-0-86,1
24,2022-11-09 06:54:28.596,0.02950491,0.9986772486772487,0.9988642816581488,0.9988642816581488,3518-4-4-2522,0.21799833,0.9642857142857143,0.9637681159420289,0.9708029197080291,133-5-3-83,16
25,2022-11-09 06:55:33.568,0.029350573,0.9970238095238095,0.997160704145372,0.9974439079806873,3512-10-8-2518,0.21022819,0.9955357142857143,1.0,0.996389891696751,138-0-1-85,48
26,2022-11-09 06:56:38.754,0.02880219,0.9996693121693122,0.9997160704145373,0.9997160704145373,3521-1-1-2525,0.20214349,1.0,1.0,1.0,138-0-0-86,49
27,2022-11-09 06:57:43.719,0.028226413,1.0,1.0,1.0,3522-0-0-2526,0.19471264,1.0,1.0,1.0,138-0-0-86,48
28,2022-11-09 06:58:48.765,0.02767398,0.999834656084656,0.9997160704145373,0.9998580150504047,3521-1-0-2526,0.18776034,1.0,1.0,1.0,138-0-0-86,49
29,2022-11-09 06:59:53.812,0.027146682,1.0,1.0,1.0,3522-0-0-2526,0.19073398,0.8482142857142857,1.0,0.8903225806451612,138-0-34-52,47
30,2022-11-09 07:00:58.896,0.026649209,1.0,1.0,1.0,3522-0-0-2526,0.18439338,1.0,1.0,1.0,138-0-0-86,48
31,2022-11-09 07:02:44.122,0.026190348,1.0,1.0,1.0,3522-0-0-2526,0.1790266,0.9910714285714286,1.0,0.9928057553956835,138-0-2-84,50
32,2022-11-09 07:03:49.136,0.025751788,1.0,1.0,1.0,3522-0-0-2526,0.17345032,1.0,1.0,1.0,138-0-0-86,48
33,2022-11-09 07:05:35.351,0.025326755,1.0,1.0,1.0,3522-0-0-2526,0.16829859,1.0,1.0,1.0,138-0-0-86,48
34,2022-11-09 07:07:20.797,0.02493616,1.0,1.0,1.0,3522-0-0-2526,0.16336189,1.0,1.0,1.0,138-0-0-86,50
35,2022-11-09 07:09:06.739,0.02496153,0.9968584656084656,0.9974446337308348,0.9973030518097942,3513-9-10-2516,0.15955704,0.9910714285714286,1.0,0.9928057553956835,138-0-2-84,49
36,2022-11-09 07:10:11.512,0.024632314,0.999834656084656,1.0,0.9998580553584102,3522-0-1-2525,0.15516523,1.0,1.0,1.0,138-0-0-86,48
37,2022-11-09 07:11:56.655,0.024297899,1.0,1.0,1.0,3522-0-0-2526,0.15098505,1.0,1.0,1.0,138-0-0-86,50
38,2022-11-09 07:13:42.395,0.023962973,0.999834656084656,0.9997160704145373,0.9998580150504047,3521-1-0-2526,0.1470129,1.0,1.0,1.0,138-0-0-86,50
39,2022-11-09 07:15:28.696,0.023644453,1.0,1.0,1.0,3522-0-0-2526,0.14325911,1.0,1.0,1.0,138-0-0-86,50
40,2022-11-09 07:17:14.038,0.023334691,1.0,1.0,1.0,3522-0-0-2526,0.13996243,1.0,1.0,1.0,138-0-0-86,50
41,2022-11-09 07:18:59.141,0.023035785,1.0,1.0,1.0,3522-0-0-2526,0.13654904,1.0,1.0,1.0,138-0-0-86,50
42,2022-11-09 07:20:45.825,0.022751654,1.0,1.0,1.0,3522-0-0-2526,0.13329901,1.0,1.0,1.0,138-0-0-86,50
43,2022-11-09 07:22:31.437,0.022479083,1.0,1.0,1.0,3522-0-0-2526,0.13023983,1.0,1.0,1.0,138-0-0-86,50
44,2022-11-09 07:24:16.936,0.022218885,1.0,1.0,1.0,3522-0-0-2526,0.12730564,1.0,1.0,1.0,138-0-0-86,50
45,2022-11-09 07:26:02.598,0.021967381,1.0,1.0,1.0,3522-0-0-2526,0.12448487,1.0,1.0,1.0,138-0-0-86,50
46,2022-11-09 07:27:48.574,0.02172677,1.0,1.0,1.0,3522-0-0-2526,0.12178616,1.0,1.0,1.0,138-0-0-86,50
47,2022-11-09 07:29:34.566,0.021495415,1.0,1.0,1.0,3522-0-0-2526,0.1191978,1.0,1.0,1.0,138-0-0-86,50
48,2022-11-09 07:31:19.973,0.021825077,0.9928902116402116,0.9934696195343555,0.9938929129385031,3499-23-20-2506,0.12257515,0.875,0.8840579710144928,0.8970588235294118,122-16-12-74,16
49,2022-11-09 07:32:24.765,0.022035081,0.9953703703703703,0.9954571266325951,0.9960227272727272,3506-16-12-2514,0.14518897,0.6205357142857143,1.0,0.7645429362880887,138-0-85-1,50
50,2022-11-09 07:33:29.660,0.021889636,1.0,1.0,1.0,3522-0-0-2526,0.1423198,1.0,1.0,1.0,138-0-0-86,47
