epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,31:58.0,0.21234222,0.91765873,0.934044345,0.930388594,3328-235-263-2222,1.5289639,0.424107143,0.007692308,0.015267176,1-129-0-94,0
2,32:57.1,0.13851099,0.977513228,0.986528207,0.98102149,3515-48-88-2397,0.8180486,0.973214286,0.953846154,0.976377953,124-6-0-94,19
3,33:56.2,0.10889964,0.98098545,0.991299467,0.983981056,3532-31-84-2401,1.3010175,0.419642857,0,0,0-130-0-94,0
4,34:55.3,0.106720395,0.963128307,0.976143699,0.968937178,3478-85-138-2347,1.1371305,0.651785714,0.5,0.625,65-65-13-81,26
5,35:54.4,0.09702444,0.978339947,0.990176817,0.981772645,3528-35-96-2389,1.0004464,0.78125,0.961538462,0.836120401,125-5-44-50,46
6,36:53.5,0.08639648,0.98478836,0.996632052,0.987211565,3551-12-80-2405,0.8341506,1,1,1,130-0-0-94,47
7,37:52.6,0.07808237,0.985119048,0.998035363,0.987503471,3556-7-83-2402,0.7153117,1,1,1,130-0-0-94,48
8,39:27.9,0.07156204,0.98478836,0.997193376,0.987218672,3553-10-82-2403,0.6500655,0.915178571,0.992307692,0.931407942,129-1-18-76,48
9,40:26.9,0.07590597,0.961474868,0.9738984,0.967517078,3470-93-140-2345,0.65483904,0.580357143,1,0.734463277,130-0-94-0,50
10,41:26.0,0.07337145,0.978670635,0.989615493,0.982035928,3526-37-92-2393,0.6393256,0.799107143,0.669230769,0.794520548,87-43-2-92,11
11,42:25.0,0.07121038,0.979166667,0.987931518,0.982416969,3520-43-83-2402,0.6460174,0.580357143,1,0.734463277,130-0-94-0,50
12,43:24.0,0.06867515,0.983465608,0.993264103,0.986068543,3539-24-76-2409,0.61929977,0.848214286,0.992307692,0.883561644,129-1-33-61,49
13,44:23.1,0.06591683,0.984292328,0.996351389,0.986796386,3550-13-82-2403,0.711266,0.46875,0.084615385,0.156028369,11-119-0-94,12
14,45:22.1,0.06341501,0.984126984,0.996070727,0.986655546,3549-14-82-2403,0.6623248,0.991071429,1,0.992366412,130-0-2-92,48
15,46:21.2,0.06099523,0.985284392,0.993544766,0.987585437,3540-23-66-2419,0.61874336,0.995535714,1,0.996168582,130-0-1-93,48
16,47:20.2,0.058727816,0.984623016,0.993825428,0.987038328,3541-22-71-2414,0.580073,1,1,1,130-0-0-94,48
17,48:58.5,0.05667196,0.985780423,0.993544766,0.987998884,3540-23-63-2422,0.54595256,1,1,1,130-0-0-94,48
18,50:37.1,0.05485102,0.985119048,0.99410609,0.987454698,3542-21-69-2416,0.51562214,1,1,1,130-0-0-94,48
19,52:14.3,0.055828527,0.972222222,0.979230985,0.976490344,3489-74-94-2391,0.57091427,0.419642857,0,0,0-130-0-94,0
20,53:13.4,0.057000715,0.971891534,0.980072972,0.97623707,3492-71-99-2386,0.6264087,0.419642857,0,0,0-130-0-94,0
21,54:12.5,0.0560586,0.984953704,0.99410609,0.987317073,3542-21-70-2415,0.5968457,0.995535714,1,0.996168582,130-0-1-93,46
22,55:11.7,0.055702392,0.981150794,0.992141454,0.984131403,3535-28-86-2399,0.57833534,0.950892857,0.923076923,0.956175299,120-10-1-93,29
23,56:10.8,0.05468905,0.984623016,0.996070727,0.987067167,3549-14-79-2406,0.57450163,0.821428571,0.892307692,0.852941176,116-14-26-68,41
24,57:09.9,0.054006133,0.983465608,0.99410609,0.986080178,3542-21-79-2406,0.6966222,0.455357143,0.107692308,0.186666667,14-116-6-88,0
25,58:09.1,0.053173695,0.982969577,0.993544766,0.985660587,3540-23-80-2405,0.67930573,0.901785714,0.969230769,0.919708029,126-4-18-76,35
26,59:08.2,0.05217104,0.985945767,0.996351389,0.988169798,3550-13-72-2413,0.6536403,0.995535714,0.992307692,0.996138996,129-1-0-94,38
27,00:07.3,0.051142048,0.985449735,0.997474039,0.987770984,3554-9-79-2406,0.62943244,1,1,1,130-0-0-94,47
28,01:06.4,0.05056812,0.982638889,0.993544766,0.985386221,3540-23-82-2403,0.6830796,0.625,0.353846154,0.522727273,46-84-0-94,0
29,02:05.6,0.050062988,0.981150794,0.995790065,0.984188627,3548-15-99-2386,0.65953755,1,1,1,130-0-0-94,45
30,03:04.7,0.049225267,0.985945767,0.998316026,0.988192805,3557-6-79-2406,0.63755524,1,1,1,130-0-0-94,48
31,04:44.1,0.048440512,0.987103175,0.99522874,0.989121339,3546-17-61-2424,0.6170078,1,1,1,130-0-0-94,42
32,05:43.2,0.047670767,0.98776455,0.992702779,0.989647454,3537-26-48-2437,0.5980598,0.995535714,1,0.996168582,130-0-1-93,47
33,06:42.4,0.046939682,0.986441799,0.994948077,0.988566648,3545-18-64-2421,0.57993734,1,1,1,130-0-0-94,46
34,07:41.6,0.046243843,0.985449735,0.997474039,0.987770984,3554-9-79-2406,0.5628805,1,1,1,130-0-0-94,48
35,09:17.4,0.045585718,0.986937831,0.996351389,0.988995682,3550-13-66-2419,0.5467983,1,1,1,130-0-0-94,48
36,10:56.9,0.044962153,0.985615079,0.995509402,0.987884696,3547-16-71-2414,0.5316096,1,1,1,130-0-0-94,48
37,12:36.0,0.044363625,0.987268519,0.993264103,0.989238295,3539-24-53-2432,0.51724195,1,1,1,130-0-0-94,48
38,14:12.8,0.043796793,0.986441799,0.991299467,0.988525049,3532-31-51-2434,0.50363064,1,1,1,130-0-0-94,48
39,15:53.4,0.043259427,0.986937831,0.991299467,0.988940221,3532-31-48-2437,0.4907171,1,1,1,130-0-0-94,48
40,17:29.2,0.043835085,0.973875661,0.979511647,0.977864948,3490-73-85-2400,0.49556732,0.584821429,0.984615385,0.733524355,128-2-91-3,49
41,18:28.5,0.044029437,0.979828042,0.991018804,0.983017817,3531-32-90-2395,0.48768955,0.9375,0.892307692,0.943089431,116-14-0-94,15
42,19:27.8,0.04392464,0.983134921,0.994667415,0.98581363,3544-19-83-2402,0.4777648,0.973214286,0.969230769,0.976744186,126-4-2-92,32
43,20:27.0,0.043668658,0.985119048,0.992422116,0.987433678,3536-27-63-2422,0.5106764,0.558035714,0.238461538,0.385093168,31-99-0-94,0
44,21:26.3,0.043300178,0.984623016,0.996632052,0.987074357,3551-12-81-2404,0.49991435,0.982142857,1,0.984848485,130-0-4-90,45
45,22:25.5,0.043108996,0.982804233,0.991860791,0.985499163,3534-29-75-2410,1.2662171,0.580357143,1,0.734463277,130-0-94-0,50
46,23:24.8,0.0428915,0.982308201,0.993544766,0.985112008,3540-23-84-2401,1.2508551,0.857142857,0.753846154,0.859649123,98-32-0-94,11
47,24:24.0,0.042677246,0.984623016,0.992983441,0.987027479,3538-25-68-2417,1.2315491,0.9375,0.892307692,0.943089431,116-14-0-94,8
48,25:23.3,0.04252142,0.982638889,0.993825428,0.985390288,3541-22-83-2402,1.2333425,0.723214286,1,0.807453416,130-0-62-32,50
49,26:22.5,0.042203393,0.983796296,0.989615493,0.986293706,3526-37-61-2424,1.2085714,0.991071429,1,0.992366412,130-0-2-92,48
50,27:21.8,0.042251106,0.981812169,0.987931518,0.984615385,3520-43-67-2418,1.2433902,0.419642857,0,0,0-130-0-94,0
