epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-26 13:56:38.261,0.19442248,0.9254298941798942,0.9245335561125034,0.9363982513044705,3320-271-180-2277,0.17395605,0.9285714285714286,0.984,0.9389312977099237,123-2-14-85,45
2,2022-10-26 13:57:54.989,0.1225664,0.990244708994709,0.9896964633806739,0.9917678247523372,3554-37-22-2435,0.2855662,0.7901785714285714,1.0,0.8417508417508417,125-0-47-52,49
3,2022-10-26 13:59:59.085,0.09015639,0.9988425925925926,0.9986076301865775,0.999024933834796,3586-5-2-2455,0.19465116,0.9955357142857143,0.992,0.9959839357429718,124-1-0-99,45
4,2022-10-26 14:01:15.866,0.08440117,0.984457671957672,0.9860763018657756,0.9869007803790413,3541-50-44-2413,0.44673744,0.48214285714285715,0.072,0.1343283582089552,9-116-0-99,1
5,2022-10-26 14:02:32.629,0.07819402,0.9900793650793651,0.9905318852687274,0.9916364650125453,3557-34-26-2431,0.65892255,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
6,2022-10-26 14:03:49.405,0.06961974,0.998015873015873,0.9980506822612085,0.9983286908077994,3584-7-5-2452,0.75498897,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
7,2022-10-26 14:05:06.199,0.06256251,0.9988425925925926,0.9991645781119465,0.99902547682027,3588-3-4-2453,0.82939094,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
8,2022-10-26 14:06:22.977,0.056778125,1.0,1.0,1.0,3591-0-0-2457,0.72586423,1.0,1.0,1.0,125-0-0-99,46
9,2022-10-26 14:07:39.786,0.052134857,0.999834656084656,1.0,0.9998607824028958,3591-0-1-2456,0.645415,1.0,1.0,1.0,125-0-0-99,46
10,2022-10-26 14:08:56.610,0.051820762,0.9910714285714286,0.9913673071567808,0.9924728185112908,3560-31-23-2434,1.0775002,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
11,2022-10-26 14:10:13.436,0.052835613,0.9871031746031746,0.9880256196045669,0.989127404516309,3548-43-35-2422,1.456261,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
12,2022-10-26 14:11:30.278,0.050678905,0.9973544973544973,0.9974937343358395,0.9977715877437325,3582-9-7-2450,1.5502771,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
13,2022-10-26 14:12:47.624,0.048881084,0.9971891534391535,0.9974937343358395,0.9976326416933574,3582-9-8-2449,1.4609046,0.8303571428571429,0.704,0.822429906542056,88-37-1-98,17
14,2022-10-26 14:14:04.406,0.046879284,0.9993386243386243,0.9997215260373155,0.9994432071269487,3590-1-3-2454,1.3654236,0.9955357142857143,0.992,0.9959839357429718,124-1-0-99,27
15,2022-10-26 14:15:21.186,0.04487081,0.9988425925925926,0.998886104149262,0.9990252054031471,3587-4-3-2454,2.4230547,0.5580357142857143,1.0,0.7163323782234957,125-0-99-0,50
