epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-30 23:48:48.652,0.09033516,0.9720568783068783,0.9724099099099099,0.9761198247845132,3454-98-71-2425,2.7454627,0.5892857142857143,1.0,0.7415730337078651,132-0-92-0,50
2,2022-10-30 23:50:52.275,0.05619317,0.9983465608465608,0.9974662162162162,0.9985907553551296,3543-9-1-2495,1.8710058,0.65625,0.9848484848484849,0.7715133531157269,130-2-75-17,50
3,2022-10-30 23:52:46.691,0.047243576,0.9952050264550265,0.995213963963964,0.9959149175940274,3535-17-12-2484,1.2837839,1.0,1.0,1.0,132-0-0-92,42
4,2022-10-30 23:54:42.048,0.04415901,0.9938822751322751,0.9926801801801802,0.9947806460713783,3526-26-11-2485,0.96309245,1.0,1.0,1.0,132-0-0-92,48
5,2022-10-30 23:56:50.840,0.038575158,0.9995039682539683,0.9991554054054054,0.9995775242923532,3549-3-0-2496,0.7705657,1.0,1.0,1.0,132-0-0-92,49
6,2022-10-30 23:58:58.712,0.034347054,1.0,1.0,1.0,3552-0-0-2496,0.64218146,1.0,1.0,1.0,132-0-0-92,48
7,2022-10-31 00:01:06.061,0.031339407,0.999834656084656,0.9997184684684685,0.9998592144164437,3551-1-0-2496,0.55044955,1.0,1.0,1.0,132-0-0-92,48
8,2022-10-31 00:03:15.919,0.029280918,0.9990079365079365,0.9985923423423423,0.9991549295774648,3547-5-1-2495,0.48171917,1.0,1.0,1.0,132-0-0-92,48
9,2022-10-31 00:05:24.665,0.029732281,0.9938822751322751,0.9940878378378378,0.9947879983096211,3531-21-16-2480,0.43094325,0.9910714285714286,1.0,0.9924812030075187,132-0-2-90,48
10,2022-10-31 00:07:20.360,0.028681053,0.9988425925925926,0.9985923423423423,0.9990142233488241,3547-5-2-2494,0.38789687,1.0,1.0,1.0,132-0-0-92,48
11,2022-10-31 00:09:29.805,0.027318494,0.9993386243386243,0.9994369369369369,0.9994369369369369,3550-2-2-2494,0.3526533,1.0,1.0,1.0,132-0-0-92,48
12,2022-10-31 00:11:38.832,0.026032232,0.999834656084656,0.9997184684684685,0.9998592144164437,3551-1-0-2496,0.32327005,1.0,1.0,1.0,132-0-0-92,49
13,2022-10-31 00:13:47.884,0.024889775,1.0,1.0,1.0,3552-0-0-2496,0.2984089,1.0,1.0,1.0,132-0-0-92,48
14,2022-10-31 00:15:53.071,0.023890221,1.0,1.0,1.0,3552-0-0-2496,0.27709994,1.0,1.0,1.0,132-0-0-92,48
15,2022-10-31 00:17:56.273,0.023029193,1.0,1.0,1.0,3552-0-0-2496,0.25863454,1.0,1.0,1.0,132-0-0-92,48
16,2022-10-31 00:19:59.438,0.02365743,0.9935515873015873,0.9935247747747747,0.994504720304354,3529-23-16-2480,4.3536186,0.5892857142857143,1.0,0.7415730337078651,132-0-92-0,50
17,2022-10-31 00:21:51.605,0.02473399,0.9927248677248677,0.9923986486486487,0.9937975754158443,3525-27-17-2479,4.0977325,1.0,1.0,1.0,132-0-0-92,48
