epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-28 13:02:50.153,0.1457721,0.9484126984126984,0.9569983136593592,0.9561920808761585,3405-153-159-2331,2.024149,0.42857142857142855,0.03759398496240601,0.07246376811594202,5-128-0-91,0
2,2022-10-28 13:03:37.984,0.09119874,0.9945436507936508,0.9949409780775716,0.9953606073386756,3540-18-15-2475,1.0145212,1.0,1.0,1.0,133-0-0-91,48
3,2022-10-28 13:04:50.049,0.068507135,0.998181216931217,0.9985947161326588,0.9984544049459041,3553-5-6-2484,0.6768488,1.0,1.0,1.0,133-0-0-91,49
4,2022-10-28 13:06:02.287,0.061175436,0.9927248677248677,0.9935356942102305,0.9938150126511105,3535-23-21-2469,0.7356401,0.40625,0.0,0.0,0-133-0-91,0
5,2022-10-28 13:06:50.245,0.059845228,0.9872685185185185,0.9873524451939292,0.9891595100661692,3513-45-32-2458,1.1140194,0.40625,0.0,0.0,0-133-0-91,0
6,2022-10-28 13:07:38.268,0.053688012,0.9985119047619048,0.9983136593591906,0.9987347110923661,3552-6-3-2487,0.92843556,1.0,1.0,1.0,133-0-0-91,48
7,2022-10-28 13:08:26.490,0.048838984,0.9985119047619048,0.9988757729061271,0.998735422228467,3554-4-5-2485,0.7958807,1.0,1.0,1.0,133-0-0-91,48
8,2022-10-28 13:09:14.563,0.044724453,0.9991732804232805,0.9991568296795953,0.9992972593113141,3555-3-2-2488,0.6964424,1.0,1.0,1.0,133-0-0-91,49
9,2022-10-28 13:10:02.635,0.041276593,0.999834656084656,0.9997189432265318,0.9998594518622629,3557-1-0-2490,0.6191159,1.0,1.0,1.0,133-0-0-91,49
10,2022-10-28 13:11:15.372,0.041753385,0.9880952380952381,0.9881956155143339,0.9898648648648649,3516-42-30-2460,0.9177279,0.40625,0.0,0.0,0-133-0-91,0
11,2022-10-28 13:12:03.475,0.042332385,0.9912367724867724,0.991849353569421,0.9925467585431023,3529-29-24-2466,0.86282647,0.875,0.8045112781954887,0.884297520661157,107-26-2-89,19
12,2022-10-28 13:12:51.593,0.040406972,0.9993386243386243,0.9991568296795953,0.9994377284228282,3555-3-1-2489,0.79097205,1.0,1.0,1.0,133-0-0-91,48
13,2022-10-28 13:13:39.685,0.039429795,0.9952050264550265,0.9963462619449128,0.9959263941564825,3545-13-16-2474,0.7456359,0.9151785714285714,0.9849624060150376,0.9323843416370107,131-2-17-74,48
14,2022-10-28 13:14:27.893,0.038493626,0.99619708994709,0.9963462619449128,0.9967664839027134,3545-13-10-2480,0.7105464,0.8928571428571429,0.9774436090225563,0.9154929577464788,130-3-21-70,46
15,2022-10-28 13:15:15.917,0.036897454,1.0,1.0,1.0,3558-0-0-2490,0.6631988,1.0,1.0,1.0,133-0-0-91,48
16,2022-10-28 13:16:04.013,0.03541244,1.0,1.0,1.0,3558-0-0-2490,0.621755,1.0,1.0,1.0,133-0-0-91,48
17,2022-10-28 13:16:52.071,0.03404797,1.0,1.0,1.0,3558-0-0-2490,0.58519423,1.0,1.0,1.0,133-0-0-91,48
18,2022-10-28 13:18:05.088,0.03281655,1.0,1.0,1.0,3558-0-0-2490,0.5526871,1.0,1.0,1.0,133-0-0-91,48
19,2022-10-28 13:19:17.684,0.03169667,1.0,1.0,1.0,3558-0-0-2490,0.5236044,1.0,1.0,1.0,133-0-0-91,48
20,2022-10-28 13:20:31.393,0.030672112,1.0,1.0,1.0,3558-0-0-2490,0.49743178,1.0,1.0,1.0,133-0-0-91,48
21,2022-10-28 13:21:44.400,0.029742666,1.0,1.0,1.0,3558-0-0-2490,0.47375587,1.0,1.0,1.0,133-0-0-91,48
22,2022-10-28 13:22:57.467,0.028888017,1.0,1.0,1.0,3558-0-0-2490,0.45223302,1.0,1.0,1.0,133-0-0-91,48
23,2022-10-28 13:24:10.472,0.029224709,0.9920634920634921,0.991849353569421,0.9932451449479314,3529-29-19-2471,0.57114017,0.40625,0.0,0.0,0-133-0-91,0
24,2022-10-28 13:24:58.610,0.029956926,0.9917328042328042,0.9924114671163575,0.9929696287964005,3531-27-23-2467,0.56910485,0.8616071428571429,0.8721804511278195,0.8821292775665398,116-17-14-77,40
25,2022-10-28 13:25:46.714,0.029695926,0.9976851851851852,0.9977515458122541,0.9980320494798989,3550-8-6-2484,0.5737158,0.8660714285714286,0.7744360902255639,0.8728813559322034,103-30-0-91,8
26,2022-10-28 13:26:34.957,0.029405795,0.998015873015873,0.9980326025857224,0.9983131852684847,3551-7-5-2485,0.55784625,0.9375,1.0,0.9500000000000001,133-0-14-77,49
27,2022-10-28 13:27:23.109,0.028976336,0.9991732804232805,0.9994378864530635,0.9992974567935928,3556-2-3-2487,0.64274347,0.5401785714285714,0.22556390977443608,0.3680981595092025,30-103-0-91,0
28,2022-10-28 13:28:11.248,0.028681666,0.9986772486772487,0.9983136593591906,0.9988751406074241,3552-6-2-2488,0.6198926,1.0,1.0,1.0,133-0-0-91,48
29,2022-10-28 13:28:59.440,0.02818013,0.999834656084656,0.9997189432265318,0.9998594518622629,3557-1-0-2490,0.5993876,0.9910714285714286,0.9924812030075187,0.9924812030075187,132-1-1-90,47
30,2022-10-28 13:29:47.536,0.027658075,1.0,1.0,1.0,3558-0-0-2490,0.5794206,1.0,1.0,1.0,133-0-0-91,48
31,2022-10-28 13:30:35.785,0.027148701,1.0,1.0,1.0,3558-0-0-2490,0.5607315,1.0,1.0,1.0,133-0-0-91,48
32,2022-10-28 13:31:23.894,0.026661074,1.0,1.0,1.0,3558-0-0-2490,0.5697616,0.78125,1.0,0.8444444444444443,133-0-49-42,50
33,2022-10-28 13:32:12.048,0.026425757,0.9976851851851852,0.9977515458122541,0.9980320494798989,3550-8-6-2484,0.6148701,0.40625,0.0,0.0,0-133-0-91,0
34,2022-10-28 13:33:00.217,0.026158517,0.9985119047619048,0.9983136593591906,0.9987347110923661,3552-6-3-2487,0.59713835,0.9955357142857143,1.0,0.9962546816479401,133-0-1-90,48
35,2022-10-28 13:33:48.426,0.025880689,0.9988425925925926,0.9988757729061271,0.9990161630358398,3554-4-3-2487,0.5802739,0.9955357142857143,1.0,0.9962546816479401,133-0-1-90,48
36,2022-10-28 13:34:36.701,0.02549308,1.0,1.0,1.0,3558-0-0-2490,0.564158,1.0,1.0,1.0,133-0-0-91,49
37,2022-10-28 13:35:24.904,0.025105702,1.0,1.0,1.0,3558-0-0-2490,0.54891366,1.0,1.0,1.0,133-0-0-91,48
38,2022-10-28 13:36:13.085,0.02478653,0.9995039682539683,0.9997189432265318,0.9995784740761555,3557-1-2-2488,0.53493047,0.9955357142857143,1.0,0.9962546816479401,133-0-1-90,49
39,2022-10-28 13:37:01.272,0.02443028,1.0,1.0,1.0,3558-0-0-2490,0.52121663,1.0,1.0,1.0,133-0-0-91,48
40,2022-10-28 13:37:49.383,0.024108246,0.9996693121693122,0.9997189432265318,0.9997189432265318,3557-1-1-2489,0.5081879,1.0,1.0,1.0,133-0-0-91,48
41,2022-10-28 13:38:37.642,0.023787204,0.999834656084656,0.9997189432265318,0.9998594518622629,3557-1-0-2490,0.49579427,1.0,1.0,1.0,133-0-0-91,49
42,2022-10-28 13:39:25.727,0.02346562,1.0,1.0,1.0,3558-0-0-2490,0.48399088,1.0,1.0,1.0,133-0-0-91,48
43,2022-10-28 13:40:13.792,0.023168335,0.999834656084656,0.9997189432265318,0.9998594518622629,3557-1-0-2490,0.47278365,1.0,1.0,1.0,133-0-0-91,49
44,2022-10-28 13:41:01.936,0.02287171,1.0,1.0,1.0,3558-0-0-2490,0.46204105,1.0,1.0,1.0,133-0-0-91,48
