epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-11-17 14:28:50.262,0.12372256,0.9586640211640212,0.9613866967305524,0.9646493212669682,3411-137-113-2387,0.017108297,0.9955357142857143,0.9923664122137404,0.9961685823754789,130-1-0-93,35
2,2022-11-17 14:33:41.011,0.09191379,0.9872685185185185,0.9890078917700112,0.9891472868217054,3509-39-38-2462,0.023976516,0.9821428571428571,0.9694656488549618,0.9844961240310077,127-4-0-93,37
3,2022-11-17 14:38:31.768,0.071805574,0.9957010582010583,0.9957722660653889,0.9963338973491257,3533-15-11-2489,0.016541695,1.0,1.0,1.0,131-0-0-93,50
4,2022-11-17 14:44:13.098,0.058294,0.9995039682539683,1.0,0.9995774052683477,3548-0-3-2497,0.012731842,1.0,1.0,1.0,131-0-0-93,49
5,2022-11-17 14:49:55.586,0.05375902,0.9937169312169312,0.9943630214205186,0.9946433605864111,3528-20-18-2482,0.013323982,0.9910714285714286,0.9847328244274809,0.9923076923076923,129-2-0-93,37
6,2022-11-17 14:54:45.804,0.0492633,0.9970238095238095,0.9971815107102593,0.9974626444882999,3538-10-8-2492,0.011654643,1.0,1.0,1.0,131-0-0-93,47
7,2022-11-17 14:59:35.855,0.044945646,0.9990079365079365,0.9991544532130778,0.9991544532130778,3545-3-3-2497,0.010498984,1.0,1.0,1.0,131-0-0-93,49
8,2022-11-17 15:05:17.741,0.041180775,0.9996693121693122,0.9997181510710259,0.9997181510710259,3547-1-1-2499,0.0099693,0.9955357142857143,0.9923664122137404,0.9961685823754789,130-1-0-93,50
9,2022-11-17 15:10:08.044,0.038039003,0.999834656084656,0.9997181510710259,0.9998590556730091,3547-1-0-2500,0.00924192,1.0,1.0,1.0,131-0-0-93,50
10,2022-11-17 15:15:50.095,0.035633445,1.0,1.0,1.0,3548-0-0-2500,0.008717835,1.0,1.0,1.0,131-0-0-93,46
11,2022-11-17 15:20:39.652,0.038400345,0.984457671957672,0.9875986471251409,0.9867642917488031,3504-44-50-2450,0.008521943,1.0,1.0,1.0,131-0-0-93,42
12,2022-11-17 15:25:29.682,0.036925755,0.9990079365079365,0.9994363021420518,0.9991546914623838,3546-2-4-2496,0.007943318,1.0,1.0,1.0,131-0-0-93,48
13,2022-11-17 15:31:11.119,0.035582125,0.9978505291005291,0.9985907553551296,0.9981687561628398,3543-5-8-2492,0.0074299057,1.0,1.0,1.0,131-0-0-93,50
14,2022-11-17 15:36:52.399,0.034298588,0.9991732804232805,0.9991544532130778,0.9992952783650458,3545-3-2-2498,0.006958948,1.0,1.0,1.0,131-0-0-93,50
