epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-31 04:24:55.283,0.2251255,0.919808201058201,0.9160542679479932,0.9303861059279459,3241-297-188-2322,0.63812,0.6205357142857143,0.9851851851851852,0.7578347578347577,133-2-83-6,50
2,2022-10-31 04:26:44.250,0.21801722,0.927744708994709,0.9250989259468626,0.9374194472289847,3273-265-172-2338,0.44620296,0.9553571428571429,0.9333333333333333,0.9618320610687023,126-9-1-88,27
3,2022-10-31 04:28:20.104,0.18849397,0.9657738095238095,0.9556246466930469,0.9702970297029703,3381-157-50-2460,0.30746698,0.9955357142857143,0.9925925925925926,0.996282527881041,134-1-0-89,32
4,2022-10-31 04:29:56.188,0.16004045,0.9859457671957672,0.9802148106274732,0.9878934624697338,3468-70-15-2495,0.39097175,0.7678571428571429,0.9185185185185185,0.8266666666666665,124-11-41-48,33
5,2022-10-31 04:31:30.673,0.15620187,0.9573412698412699,0.9482758620689655,0.9629735935706086,3355-183-75-2435,0.3323377,0.96875,0.9481481481481482,0.973384030418251,128-7-0-89,17
6,2022-10-31 04:33:05.994,0.14685333,0.9765211640211641,0.970887507066139,0.979749001711352,3435-103-39-2471,0.28694388,0.9776785714285714,0.9703703703703703,0.9812734082397003,131-4-1-88,32
7,2022-10-31 04:34:40.413,0.13777523,0.9833002645502645,0.9799321650650085,0.9856432125088842,3467-71-30-2480,0.24801604,0.9955357142857143,1.0,0.996309963099631,135-0-1-88,46
8,2022-10-31 04:36:15.110,0.12758651,0.9925595238095238,0.9901074053137365,0.9936179265352432,3503-35-10-2500,0.21793617,1.0,1.0,1.0,135-0-0-89,43
9,2022-10-31 04:37:50.789,0.118539296,0.9963624338624338,0.9943470887507067,0.996882969679796,3518-20-2-2508,0.19447906,1.0,1.0,1.0,135-0-0-89,44
10,2022-10-31 04:39:27.054,0.11950956,0.9651124338624338,0.9578858111927643,0.9698097009586493,3389-149-62-2448,0.19405918,0.9285714285714286,0.8814814814814815,0.937007874015748,119-16-0-89,13
11,2022-10-31 04:41:13.609,0.118940696,0.9722222222222222,0.9663651780667043,0.9760205538110192,3419-119-49-2461,0.21392173,0.8705357142857143,0.7851851851851852,0.8796680497925311,106-29-0-89,8
12,2022-10-31 04:42:50.937,0.11686065,0.9783399470899471,0.9731486715658564,0.9813310531566196,3443-95-36-2474,0.19845681,0.9910714285714286,0.9851851851851852,0.9925373134328358,133-2-0-89,35
13,2022-10-31 04:44:28.278,0.112923995,0.9895833333333334,0.9875635952515546,0.9910650971493405,3494-44-19-2491,0.18635821,0.9821428571428571,0.9777777777777777,0.9850746268656717,132-3-1-88,25
14,2022-10-31 04:46:03.698,0.109123245,0.9915674603174603,0.9901074053137365,0.9927731330593736,3503-35-16-2494,0.17617811,0.9776785714285714,0.9629629629629629,0.9811320754716981,130-5-0-89,26
15,2022-10-31 04:47:41.461,0.105138354,0.9940476190476191,0.9926512153759186,0.9949008498583569,3512-26-10-2500,0.16880655,0.9732142857142857,0.9555555555555556,0.9772727272727273,129-6-0-89,33
16,2022-10-31 04:49:17.556,0.10128297,0.9963624338624338,0.99576031656303,0.9968873797396719,3523-15-7-2503,0.15861307,1.0,1.0,1.0,135-0-0-89,41
17,2022-10-31 04:50:53.978,0.09747751,0.9983465608465608,0.9977388355002826,0.9985855728429986,3530-8-2-2508,0.14959835,1.0,1.0,1.0,135-0-0-89,40
18,2022-10-31 04:52:30.625,0.09385508,0.9986772486772487,0.9980214810627474,0.9988684582743989,3531-7-1-2509,0.14160442,1.0,1.0,1.0,135-0-0-89,36
19,2022-10-31 04:54:07.194,0.090438046,0.9988425925925926,0.998304126625212,0.9990100410125866,3532-6-1-2509,0.1343614,1.0,1.0,1.0,135-0-0-89,42
20,2022-10-31 04:55:41.135,0.08844164,0.9917328042328042,0.9903900508762012,0.9929158401813545,3504-34-16-2494,1.471647,0.7008928571428571,1.0,0.8011869436201781,135-0-67-22,44
21,2022-10-31 04:57:16.077,0.0890879,0.9737103174603174,0.9691916336913511,0.9773407439076529,3429-109-50-2460,1.4045447,0.9776785714285714,1.0,0.9818181818181818,135-0-5-84,36
22,2022-10-31 04:58:52.219,0.08904573,0.980489417989418,0.9773883550028265,0.9832243389252203,3458-80-38-2472,1.3420964,0.9910714285714286,0.9851851851851852,0.9925373134328358,133-2-0-89,28
23,2022-10-31 05:00:29.272,0.087699614,0.9920634920634921,0.9903900508762012,0.9931972789115646,3504-34-14-2496,1.2843522,0.9955357142857143,1.0,0.996309963099631,135-0-1-88,41
24,2022-10-31 05:02:06.204,0.08625438,0.9909060846560847,0.9895421141888072,0.9922063199659913,3501-37-18-2492,1.2351496,0.96875,0.9481481481481482,0.973384030418251,128-7-0-89,29
25,2022-10-31 05:03:42.641,0.08481705,0.9930555555555556,0.9918032786885246,0.9940509915014164,3509-29-13-2497,1.1955168,0.9196428571428571,0.8666666666666667,0.9285714285714286,117-18-0-89,13
26,2022-10-31 05:05:20.258,0.08316097,0.9952050264550265,0.9932165065008479,0.9958906050729771,3514-24-5-2505,1.1506456,0.9955357142857143,0.9925925925925926,0.996282527881041,134-1-0-89,32
27,2022-10-31 05:06:55.418,0.081681035,0.9950396825396826,0.9940644431882419,0.9957531143827859,3517-21-9-2501,1.113192,0.9419642857142857,0.9037037037037037,0.9494163424124513,122-13-0-89,18
