epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-27 20:17:08.541,0.14914668,0.9517195767195767,0.9533462926964732,0.9592064822576137,3433-168-124-2323,0.71387917,0.46875,0.032520325203252036,0.06299212598425198,4-119-0-101,0
2,2022-10-27 20:19:32.249,0.13487831,0.9651124338624338,0.9716745348514302,0.9707310306561242,3499-102-109-2338,0.37139902,0.9955357142857143,0.991869918699187,0.9959183673469388,122-1-0-101,30
3,2022-10-27 20:21:55.946,0.11411654,0.9837962962962963,0.9855595667870036,0.9863813229571985,3549-52-46-2401,0.2502685,1.0,1.0,1.0,123-0-0-101,38
4,2022-10-27 20:24:19.505,0.09521532,0.9958664021164021,0.9961121910580394,0.9965272954577025,3587-14-11-2436,0.18916236,1.0,1.0,1.0,123-0-0-101,38
5,2022-10-27 20:26:42.876,0.09767112,0.9700727513227513,0.9725076367675646,0.9748086290883785,3502-99-82-2365,0.16654833,0.9821428571428571,0.967479674796748,0.9834710743801653,119-4-0-101,23
6,2022-10-27 20:29:06.475,0.09147278,0.9879298941798942,0.986948069980561,0.989834284918535,3554-47-26-2421,0.14012033,1.0,1.0,1.0,123-0-0-101,34
7,2022-10-27 20:31:30.003,0.08444852,0.9938822751322751,0.9938905859483477,0.9948575399583043,3579-22-15-2432,0.12363425,0.9955357142857143,0.991869918699187,0.9959183673469388,122-1-0-101,38
8,2022-10-27 20:33:53.120,0.07756601,0.9976851851851852,0.9966675923354624,0.9980533926585093,3589-12-2-2445,0.108950734,1.0,1.0,1.0,123-0-0-101,45
9,2022-10-27 20:36:16.356,0.07159398,0.9986772486772487,0.9980560955290197,0.9988882712618122,3594-7-1-2446,0.09737535,1.0,1.0,1.0,123-0-0-101,46
10,2022-10-27 20:38:39.904,0.07232861,0.9813161375661376,0.9827825603998889,0.984285912946739,3539-62-51-2396,0.08965006,0.9955357142857143,1.0,0.9959514170040485,123-0-1-100,41
11,2022-10-27 20:41:03.364,0.071658246,0.9851190476190477,0.9872257706192724,0.9874999999999999,3555-46-44-2403,0.08222591,1.0,1.0,1.0,123-0-0-101,36
12,2022-10-27 20:43:26.902,0.07014927,0.9894179894179894,0.9913912801999445,0.9911160466407551,3570-31-33-2414,0.07614764,1.0,1.0,1.0,123-0-0-101,40
13,2022-10-27 20:45:51.630,0.06792588,0.9933862433862434,0.9936128853096362,0.9944413563090606,3578-23-17-2430,0.07079664,1.0,1.0,1.0,123-0-0-101,37
14,2022-10-27 20:48:15.487,0.065546915,0.9950396825396826,0.9950013885031935,0.9958310172317953,3583-18-12-2435,0.06600351,1.0,1.0,1.0,123-0-0-101,36
15,2022-10-27 20:50:38.567,0.06314318,0.9975198412698413,0.9966675923354624,0.9979146392325873,3589-12-3-2444,0.061928753,1.0,1.0,1.0,123-0-0-101,40
16,2022-10-27 20:53:02.294,0.06083819,0.9975198412698413,0.9969452929741739,0.9979152189020154,3590-11-4-2443,0.058280487,1.0,1.0,1.0,123-0-0-101,46
17,2022-10-27 20:55:25.710,0.05844211,0.9990079365079365,0.9983337961677312,0.9991662034463591,3595-6-0-2447,0.055054005,1.0,1.0,1.0,123-0-0-101,47
18,2022-10-27 20:57:49.395,0.056176998,0.9996693121693122,0.9994445987225771,0.9997222222222222,3599-2-0-2447,0.052119642,1.0,1.0,1.0,123-0-0-101,47
19,2022-10-27 21:00:13.118,0.05406812,1.0,1.0,1.0,3601-0-0-2447,0.049481012,1.0,1.0,1.0,123-0-0-101,47
20,2022-10-27 21:02:36.427,0.053082544,0.9937169312169312,0.9947236878644821,0.9947236878644821,3582-19-19-2428,0.048941508,0.9866071428571429,0.983739837398374,0.9877551020408164,121-2-1-100,31
21,2022-10-27 21:04:59.669,0.054436296,0.9766865079365079,0.9808386559289086,0.9804302567661346,3532-69-72-2375,0.046794623,1.0,1.0,1.0,123-0-0-101,38
22,2022-10-27 21:07:22.845,0.05406655,0.9910714285714286,0.9927797833935018,0.9925041643531373,3575-26-28-2419,0.057794213,0.8571428571428571,1.0,0.8848920863309353,123-0-32-69,47
23,2022-10-27 21:09:46.491,0.053164404,0.996031746031746,0.9961121910580394,0.9966657404834676,3587-14-10-2437,0.055498928,1.0,1.0,1.0,123-0-0-101,40
24,2022-10-27 21:12:19.669,0.052447595,0.9945436507936508,0.9950013885031935,0.9954160300041673,3583-18-15-2432,0.0533151,1.0,1.0,1.0,123-0-0-101,42
25,2022-10-27 21:14:50.145,0.051391356,0.9978505291005291,0.9977783948903083,0.9981941936380053,3593-8-5-2442,0.052057393,1.0,1.0,1.0,123-0-0-101,34
26,2022-10-27 21:17:13.579,0.05048625,0.9970238095238095,0.9975006942515968,0.9975006942515968,3592-9-9-2438,0.05016884,1.0,1.0,1.0,123-0-0-101,43
27,2022-10-27 21:19:38.284,0.049679063,0.99619708994709,0.9961121910580394,0.9968042239822148,3587-14-9-2438,0.054976936,0.9241071428571429,1.0,0.935361216730038,123-0-17-84,47
28,2022-10-27 21:22:01.504,0.04885051,0.9976851851851852,0.9977783948903083,0.9980555555555556,3593-8-6-2441,0.053150985,1.0,1.0,1.0,123-0-0-101,46
29,2022-10-27 21:24:24.678,0.047984235,0.998015873015873,0.9986114968064427,0.9983342587451416,3596-5-7-2440,0.0514228,1.0,1.0,1.0,123-0-0-101,42
30,2022-10-27 21:26:47.956,0.04708513,0.9985119047619048,0.9988891974451541,0.9987505206164099,3597-4-5-2442,0.04979531,1.0,1.0,1.0,123-0-0-101,43
31,2022-10-27 21:29:11.124,0.04610836,0.9995039682539683,1.0,0.9995836224843858,3601-0-3-2444,0.048254006,1.0,1.0,1.0,123-0-0-101,44
32,2022-10-27 21:31:34.318,0.04514285,1.0,1.0,1.0,3601-0-0-2447,0.04681009,1.0,1.0,1.0,123-0-0-101,42
33,2022-10-27 21:33:57.659,0.044188872,1.0,1.0,1.0,3601-0-0-2447,0.0454906,1.0,1.0,1.0,123-0-0-101,45
34,2022-10-27 21:36:21.010,0.04327279,0.999834656084656,0.9997222993612885,0.9998611303985558,3600-1-0-2447,0.044262625,1.0,1.0,1.0,123-0-0-101,47
35,2022-10-27 21:38:44.312,0.04238211,0.9996693121693122,1.0,0.9997223764575236,3601-0-2-2445,0.04315654,1.0,1.0,1.0,123-0-0-101,46
36,2022-10-27 21:41:07.606,0.041525036,0.999834656084656,0.9997222993612885,0.9998611303985558,3600-1-0-2447,0.042043954,1.0,1.0,1.0,123-0-0-101,46
37,2022-10-27 21:43:31.065,0.040695198,1.0,1.0,1.0,3601-0-0-2447,0.041016355,1.0,1.0,1.0,123-0-0-101,45
38,2022-10-27 21:45:54.330,0.039894402,1.0,1.0,1.0,3601-0-0-2447,0.04005556,1.0,1.0,1.0,123-0-0-101,45
39,2022-10-27 21:48:17.865,0.039126325,1.0,1.0,1.0,3601-0-0-2447,0.039099503,1.0,1.0,1.0,123-0-0-101,45
40,2022-10-27 21:50:41.390,0.038393352,1.0,1.0,1.0,3601-0-0-2447,0.038182646,1.0,1.0,1.0,123-0-0-101,45
41,2022-10-27 21:53:06.032,0.037694704,1.0,1.0,1.0,3601-0-0-2447,0.03731145,1.0,1.0,1.0,123-0-0-101,45
42,2022-10-27 21:55:29.311,0.038453378,0.9846230158730159,0.9861149680644266,0.9870743571924947,3551-50-43-2404,0.04082308,0.9464285714285714,1.0,0.9534883720930233,123-0-12-89,40
43,2022-10-27 21:57:52.513,0.0384104,0.9940476190476191,0.9936128853096362,0.9949944382647384,3578-23-13-2434,0.040274177,0.9955357142857143,0.991869918699187,0.9959183673469388,122-1-0-101,40
44,2022-10-27 22:00:15.638,0.038168967,0.9966931216931217,0.9961121910580394,0.9972199054767862,3587-14-6-2441,0.04169537,0.9598214285714286,1.0,0.9647058823529412,123-0-9-92,44
45,2022-10-27 22:02:38.906,0.03790244,0.9971891534391535,0.9969452929741739,0.9976379046825066,3590-11-6-2441,0.040949862,1.0,1.0,1.0,123-0-0-101,41
46,2022-10-27 22:05:02.329,0.03747102,0.9996693121693122,0.9997222993612885,0.9997222993612885,3600-1-1-2446,0.04016642,1.0,1.0,1.0,123-0-0-101,46
47,2022-10-27 22:07:25.567,0.03733511,0.9947089947089947,0.9955567897806165,0.9955567897806165,3585-16-16-2431,0.03966057,0.9955357142857143,0.991869918699187,0.9959183673469388,122-1-0-101,42
48,2022-10-27 22:09:48.808,0.037064932,0.9973544973544973,0.9972229936128854,0.9977771603223119,3591-10-6-2441,0.038941342,1.0,1.0,1.0,123-0-0-101,45
49,2022-10-27 22:12:11.994,0.036764648,0.998015873015873,0.9983337961677312,0.9983337961677312,3595-6-6-2441,0.039717443,0.9821428571428571,1.0,0.9839999999999999,123-0-4-97,48
50,2022-10-27 22:14:59.039,0.03650097,0.9965277777777778,0.9966675923354624,0.9970829281844701,3589-12-9-2438,0.03899853,1.0,1.0,1.0,123-0-0-101,44
51,2022-10-27 22:17:22.237,0.036100496,0.9996693121693122,1.0,0.9997223764575236,3601-0-2-2445,0.038282525,1.0,1.0,1.0,123-0-0-101,45
52,2022-10-27 22:19:45.386,0.036013633,0.9955357142857143,0.9950013885031935,0.9962463506186571,3583-18-9-2438,0.03757847,1.0,1.0,1.0,123-0-0-101,44
53,2022-10-27 22:22:08.640,0.035753507,0.9973544973544973,0.9972229936128854,0.9977771603223119,3591-10-6-2441,0.036968734,1.0,1.0,1.0,123-0-0-101,43
54,2022-10-27 22:24:32.095,0.035353206,0.9996693121693122,1.0,0.9997223764575236,3601-0-2-2445,0.036363777,1.0,1.0,1.0,123-0-0-101,43
55,2022-10-27 22:26:56.767,0.034934465,1.0,1.0,1.0,3601-0-0-2447,0.035747807,1.0,1.0,1.0,123-0-0-101,43
56,2022-10-27 22:29:19.993,0.034515757,1.0,1.0,1.0,3601-0-0-2447,0.035173263,1.0,1.0,1.0,123-0-0-101,42
57,2022-10-27 22:31:43.430,0.034121558,0.9996693121693122,0.9997222993612885,0.9997222993612885,3600-1-1-2446,0.0345581,1.0,1.0,1.0,123-0-0-101,42
58,2022-10-27 22:34:06.839,0.033739205,0.9996693121693122,0.9997222993612885,0.9997222993612885,3600-1-1-2446,0.034018584,1.0,1.0,1.0,123-0-0-101,39
59,2022-10-27 22:36:30.130,0.033631567,0.99619708994709,0.9969452929741739,0.996806886019714,3590-11-12-2435,0.03355206,1.0,1.0,1.0,123-0-0-101,46
60,2022-10-27 22:38:53.438,0.03328566,0.9995039682539683,0.9994445987225771,0.9995833911956672,3599-2-1-2446,0.0330031,1.0,1.0,1.0,123-0-0-101,44
61,2022-10-27 22:41:16.892,0.032934945,0.999834656084656,1.0,0.9998611689573789,3601-0-1-2446,0.032494884,1.0,1.0,1.0,123-0-0-101,45
62,2022-10-27 22:43:40.307,0.03263079,0.9995039682539683,0.9994445987225771,0.9995833911956672,3599-2-1-2446,0.032020822,1.0,1.0,1.0,123-0-0-101,46
63,2022-10-27 22:46:06.070,0.032327432,0.9991732804232805,0.9994445987225771,0.9993058447868943,3599-2-3-2444,0.031526923,1.0,1.0,1.0,123-0-0-101,45
64,2022-10-27 22:48:39.412,0.03198091,1.0,1.0,1.0,3601-0-0-2447,0.031044185,1.0,1.0,1.0,123-0-0-101,45
65,2022-10-27 22:51:12.711,0.031637244,1.0,1.0,1.0,3601-0-0-2447,0.030578695,1.0,1.0,1.0,123-0-0-101,46
66,2022-10-27 22:53:46.058,0.031300846,1.0,1.0,1.0,3601-0-0-2447,0.030125905,1.0,1.0,1.0,123-0-0-101,47
