epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-28 14:54:05.803,0.2222596,0.9171626984126984,0.9191405145603619,0.9284592317578181,3251-286-215-2296,0.034238014,0.9955357142857143,0.9925373134328358,0.9962546816479401,133-1-0-90,41
2,2022-10-28 14:56:18.073,0.16589844,0.972718253968254,0.9734238054848742,0.9765990639625586,3443-94-71-2440,0.039205085,0.9910714285714286,0.9925373134328358,0.9925373134328358,133-1-1-89,44
3,2022-10-28 14:58:30.540,0.123399176,0.9966931216931217,0.9960418433700876,0.9971695442966317,3523-14-6-2505,0.032893877,0.9955357142857143,0.9925373134328358,0.9962546816479401,133-1-0-90,45
4,2022-10-28 15:00:42.942,0.117857754,0.9735449735449735,0.9722929035906135,0.9772662688263711,3439-98-62-2449,0.03171217,0.9955357142857143,0.9925373134328358,0.9962546816479401,133-1-0-90,45
5,2022-10-28 15:02:55.384,0.10386157,0.9940476190476191,0.9934973141080011,0.9949037372593431,3514-23-13-2498,0.5026585,0.5982142857142857,1.0,0.7486033519553073,134-0-90-0,50
6,2022-10-28 15:06:13.650,0.09117115,0.9991732804232805,0.9988690981057393,0.999292886437562,3533-4-1-2510,0.43709883,0.9642857142857143,0.9925373134328358,0.9708029197080291,133-1-7-83,49
7,2022-10-28 15:08:25.955,0.08121642,0.9993386243386243,0.9991518235793045,0.9994343891402716,3534-3-1-2510,0.37554446,0.9955357142857143,0.9925373134328358,0.9962546816479401,133-1-0-90,48
8,2022-10-28 15:10:38.518,0.080103055,0.9814814814814815,0.9821882951653944,0.9841359773371104,3474-63-49-2462,0.41126376,0.6473214285714286,0.5298507462686567,0.6425339366515838,71-63-16-74,18
9,2022-10-28 15:12:51.006,0.07753067,0.9892526455026455,0.9889737065309584,0.9907945050276166,3498-39-26-2485,0.37279043,0.9776785714285714,0.9626865671641791,0.9809885931558935,129-5-0-90,31
10,2022-10-28 15:15:03.424,0.07449294,0.9918981481481481,0.9912355103194798,0.9930604730208186,3506-31-18-2493,0.33796823,0.9955357142857143,0.9925373134328358,0.9962546816479401,133-1-0-90,44
11,2022-10-28 15:17:15.921,0.070193805,0.9983465608465608,0.9988690981057393,0.9985867721876767,3533-4-6-2505,0.32450798,0.9285714285714286,1.0,0.9436619718309859,134-0-16-74,46
12,2022-10-28 15:19:28.125,0.066749446,0.9970238095238095,0.9980209216850439,0.99745690873128,3530-7-11-2500,0.29837576,0.9955357142857143,0.9925373134328358,0.9962546816479401,133-1-0-90,48
13,2022-10-28 15:21:40.635,0.06298714,0.999834656084656,1.0,0.9998586572438163,3537-0-1-2510,0.27559716,1.0,1.0,1.0,134-0-0-90,48
14,2022-10-28 15:24:58.991,0.059654433,0.9996693121693122,0.9997172745264349,0.9997172745264349,3536-1-1-2510,0.2561419,1.0,1.0,1.0,134-0-0-90,48
15,2022-10-28 15:28:17.786,0.056671042,1.0,1.0,1.0,3537-0-0-2511,0.23922342,1.0,1.0,1.0,134-0-0-90,48
16,2022-10-28 15:31:37.313,0.05510067,0.9940476190476191,0.9940627650551315,0.9949066213921902,3516-21-15-2496,0.2916348,0.41964285714285715,0.029850746268656716,0.05797101449275362,4-130-0-90,0
17,2022-10-28 15:33:49.887,0.056373533,0.9836309523809523,0.9833191970596551,0.9859673990077958,3478-59-40-2471,0.27830204,0.9866071428571429,0.9925373134328358,0.9888475836431226,133-1-2-88,41
18,2022-10-28 15:36:02.642,0.055218827,0.9963624338624338,0.996607294317218,0.9968891402714932,3525-12-10-2501,0.26687494,0.9776785714285714,0.9626865671641791,0.9809885931558935,129-5-0-90,25
19,2022-10-28 15:38:15.085,0.054096375,0.99619708994709,0.9960418433700876,0.9967463573348424,3523-14-9-2502,0.25424346,0.9955357142857143,0.9925373134328358,0.9962546816479401,133-1-0-90,42
