epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-28 01:11:49.596,0.15261956,0.9456018518518519,0.9508150646430579,0.9536293164200141,3383-175-154-2336,0.91098535,0.5758928571428571,1.0,0.7308781869688384,129-0-95-0,50
2,2022-10-28 01:13:34.639,0.0946255,0.9938822751322751,0.9949409780775716,0.9948011802725868,3540-18-19-2471,0.75588053,0.65625,0.40310077519379844,0.574585635359116,52-77-0-95,0
3,2022-10-28 01:14:39.880,0.069969624,0.9993386243386243,0.9988757729061271,0.999437570303712,3554-4-0-2490,0.50427115,1.0,1.0,1.0,129-0-0-95,48
4,2022-10-28 01:16:25.851,0.06600762,0.9861111111111112,0.9873524451939292,0.9881856540084388,3513-45-39-2451,0.4194746,0.9375,0.9302325581395349,0.9448818897637796,120-9-5-90,18
5,2022-10-28 01:17:31.521,0.062118184,0.9930555555555556,0.9938167509836987,0.9940961484396964,3536-22-20-2470,0.38083273,0.9553571428571429,0.9302325581395349,0.96,120-9-1-94,31
6,2022-10-28 01:18:37.215,0.05516139,0.9988425925925926,0.9983136593591906,0.9990156096189002,3552-6-1-2489,0.3249095,0.9821428571428571,1.0,0.9847328244274809,129-0-4-91,42
7,2022-10-28 01:19:43.083,0.04948798,0.9996693121693122,0.9997189432265318,0.9997189432265318,3557-1-1-2489,0.2788125,1.0,1.0,1.0,129-0-0-95,49
8,2022-10-28 01:21:29.928,0.045269135,0.9996693121693122,0.9997189432265318,0.9997189432265318,3557-1-1-2489,0.24399786,1.0,1.0,1.0,129-0-0-95,48
9,2022-10-28 01:23:16.723,0.041737698,0.999834656084656,0.9997189432265318,0.9998594518622629,3557-1-0-2490,0.21693054,1.0,1.0,1.0,129-0-0-95,49
10,2022-10-28 01:25:04.245,0.038943194,1.0,1.0,1.0,3558-0-0-2490,0.2229178,0.90625,0.9844961240310077,0.9236363636363636,127-2-19-76,41
11,2022-10-28 01:26:09.829,0.03991306,0.9895833333333334,0.9901630129286115,0.991137994091996,3523-35-28-2462,0.24326295,0.7589285714285714,0.875968992248062,0.8071428571428572,113-16-38-57,40
12,2022-10-28 01:27:15.390,0.03973351,0.9943783068783069,0.9940978077571669,0.9952166572875634,3537-21-13-2477,0.2681829,0.6428571428571429,0.8682170542635659,0.7368421052631581,112-17-63-32,32
13,2022-10-28 01:28:21.148,0.038299344,0.9983465608465608,0.9983136593591906,0.9985943210570706,3552-6-4-2486,0.25228074,0.9732142857142857,1.0,0.9772727272727273,129-0-6-89,50
14,2022-10-28 01:29:26.802,0.036882285,0.9986772486772487,0.9983136593591906,0.9988751406074241,3552-6-2-2488,0.23436415,1.0,1.0,1.0,129-0-0-95,43
15,2022-10-28 01:30:32.557,0.035376858,0.9995039682539683,0.9994378864530635,0.9995783555867885,3556-2-1-2489,0.21875341,1.0,1.0,1.0,129-0-0-95,47
16,2022-10-28 01:31:38.078,0.03395601,1.0,1.0,1.0,3558-0-0-2490,0.20510086,1.0,1.0,1.0,129-0-0-95,49
17,2022-10-28 01:33:24.854,0.03268967,1.0,1.0,1.0,3558-0-0-2490,0.19304653,1.0,1.0,1.0,129-0-0-95,48
18,2022-10-28 01:35:11.563,0.031528503,0.9996693121693122,0.9997189432265318,0.9997189432265318,3557-1-1-2489,0.18233804,1.0,1.0,1.0,129-0-0-95,49
19,2022-10-28 01:36:59.392,0.030482905,1.0,1.0,1.0,3558-0-0-2490,0.17275646,1.0,1.0,1.0,129-0-0-95,49
20,2022-10-28 01:38:45.775,0.02952184,1.0,1.0,1.0,3558-0-0-2490,0.16415583,1.0,1.0,1.0,129-0-0-95,49
21,2022-10-28 01:40:33.555,0.028641192,1.0,1.0,1.0,3558-0-0-2490,0.15635651,1.0,1.0,1.0,129-0-0-95,49
22,2022-10-28 01:42:20.676,0.02784262,1.0,1.0,1.0,3558-0-0-2490,0.14926778,1.0,1.0,1.0,129-0-0-95,49
23,2022-10-28 01:44:08.012,0.028535692,0.9905753968253969,0.9907251264755481,0.9919797382861967,3525-33-24-2466,0.15972283,0.7946428571428571,0.6434108527131783,0.7830188679245284,83-46-0-95,2
24,2022-10-28 01:45:13.576,0.028864799,0.9947089947089947,0.9943788645306352,0.9954980303882949,3538-20-12-2478,0.17781377,0.6428571428571429,0.7984496124031008,0.7202797202797202,103-26-54-41,39
25,2022-10-28 01:46:18.923,0.028485676,0.9993386243386243,0.9994378864530635,0.9994378864530635,3556-2-2-2488,0.17148708,1.0,1.0,1.0,129-0-0-95,48
26,2022-10-28 01:47:24.429,0.027946886,0.999834656084656,0.9997189432265318,0.9998594518622629,3557-1-0-2490,0.16749136,0.9776785714285714,1.0,0.9809885931558935,129-0-5-90,48
27,2022-10-28 01:48:29.861,0.027393958,0.999834656084656,0.9997189432265318,0.9998594518622629,3557-1-0-2490,0.1623457,0.9866071428571429,1.0,0.9885057471264368,129-0-3-92,48
28,2022-10-28 01:49:35.228,0.026882844,1.0,1.0,1.0,3558-0-0-2490,0.15655515,1.0,1.0,1.0,129-0-0-95,44
29,2022-10-28 01:50:40.820,0.026391886,1.0,1.0,1.0,3558-0-0-2490,0.22002079,0.5848214285714286,1.0,0.735042735042735,129-0-93-2,50
30,2022-10-28 01:51:46.240,0.025922678,1.0,1.0,1.0,3558-0-0-2490,0.2485703,0.6071428571428571,1.0,0.7456647398843931,129-0-88-7,50
